feature,importance_value,rank
bias_w,0.022808840560200137,1
P_internet,0.00941719821750375,2
P_age_15_39,0.008204376718350498,3
P_poverty,0.007464782820072365,4
P_age_00_14,0.007446597183732524,5
P_educational_lag,0.006581250359904947,6
Total_residents,0.006429327183698279,7
P_lack_quality_living_spaces,0.0063733733708317905,8
latitude,0.006217086301978654,9
Total_houses,0.005652996714979212,10
P_read_write,0.005254605478626609,11
P_migrants,0.004208838930500568,12
P_indigenous_language,0.003447085780272728,13
Current_income,0.003330955428635785,14
P_age_65_more,0.0031855035470138506,15
P_extreme_poverty,0.0029391014878967585,16
P_car,0.00271473989817843,17
longitude,0.0024632902413579856,18
P_cell_phone,0.002461568663911517,19
P_vulnerable_income,0.002436541088843984,20
P_afrodescendants,0.0024118583803435754,21
P_university_studies,0.00225250173218143,22
P_electricity,0.002237223999568323,23
P_disability,0.002171352684026233,24
P_female,0.0021477620795359717,25
Mean_occupants,0.0019926251071286723,26
P_working,0.00197349087050182,27
Mean_age,0.001320796051866359,28
