eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,678,0.08251596911738043
0.05,1,1,0.65,0.8,0,0,178,0.08226384122525225
0.1,1,1,0.65,0.8,0,0,86,0.08210983166520393
0.3,1,1,0.65,0.8,0,0,48,0.08202277342312614
0.01,3,1,0.65,0.8,0,0,438,0.08024579764256765
0.05,3,1,0.65,0.8,0,0,96,0.08073076421042072
0.1,3,1,0.65,0.8,0,0,55,0.08092861639759558
0.3,3,1,0.65,0.8,0,0,14,0.08485880999452397
0.01,5,1,0.65,0.8,0,0,459,0.07908575478056123
0.05,5,1,0.65,0.8,0,0,106,0.08098421746145652
0.1,5,1,0.65,0.8,0,0,42,0.08096407952719104
0.3,5,1,0.65,0.8,0,0,15,0.08883644946976246
0.01,7,1,0.65,0.8,0,0,538,0.07936719007235254
0.05,7,1,0.65,0.8,0,0,124,0.08073426986017893
0.1,7,1,0.65,0.8,0,0,53,0.08378277399021772
0.3,7,1,0.65,0.8,0,0,17,0.09030258124363418
0.01,1,3,0.65,0.8,0,0,753,0.0815847144713531
0.05,1,3,0.65,0.8,0,0,178,0.08139871816095684
0.1,1,3,0.65,0.8,0,0,121,0.08097514820910157
0.3,1,3,0.65,0.8,0,0,37,0.08088937665579879
0.01,3,3,0.65,0.8,0,0,439,0.0789257825361495
0.05,3,3,0.65,0.8,0,0,88,0.0794036021669922
0.1,3,3,0.65,0.8,0,0,53,0.07888755785678786
0.3,3,3,0.65,0.8,0,0,16,0.08140998652346068
0.01,5,3,0.65,0.8,0,0,458,0.07820751545352492
0.05,5,3,0.65,0.8,0,0,98,0.07946450505008679
0.1,5,3,0.65,0.8,0,0,42,0.07940833976746994
0.3,5,3,0.65,0.8,0,0,10,0.08246885407516882
0.01,7,3,0.65,0.8,0,0,492,0.07789379633790326
0.05,7,3,0.65,0.8,0,0,98,0.07897379637991592
0.1,7,3,0.65,0.8,0,0,46,0.07990892593576324
0.3,7,3,0.65,0.8,0,0,15,0.08664709492363104
0.01,1,5,0.65,0.8,0,0,753,0.0813301227798812
0.05,1,5,0.65,0.8,0,0,168,0.08106681968094451
0.1,1,5,0.65,0.8,0,0,140,0.0806234012903644
0.3,1,5,0.65,0.8,0,0,47,0.0807916022745381
0.01,3,5,0.65,0.8,0,0,520,0.07780976080893023
0.05,3,5,0.65,0.8,0,0,118,0.07795515039775414
0.1,3,5,0.65,0.8,0,0,59,0.07829679297451228
0.3,3,5,0.65,0.8,0,0,20,0.07985509561381074
0.01,5,5,0.65,0.8,0,0,473,0.07722504869764481
0.05,5,5,0.65,0.8,0,0,139,0.07782913232734458
0.1,5,5,0.65,0.8,0,0,58,0.077990550635922265
0.3,5,5,0.65,0.8,0,0,19,0.08310555941111063
0.01,7,5,0.65,0.8,0,0,519,0.07706009872596319
0.05,7,5,0.65,0.8,0,0,88,0.0782789111126352
0.1,7,5,0.65,0.8,0,0,51,0.07826399901128775
0.3,7,5,0.65,0.8,0,0,14,0.08400636935450467
0.01,1,7,0.65,0.8,0,0,753,0.08130468711581189
0.05,1,7,0.65,0.8,0,0,178,0.08104346504004306
