feature,importance_value,rank
bias_w,0.04990433173022223,1
longitude,0.031319717492194206,2
latitude,0.007286911158488043,3
P_internet,0.002898453656788863,4
P_indigenous_language,0.00262620601063386,5
P_extreme_poverty,0.002099553387345673,6
P_read_write,0.001562205870342416,7
P_electricity,0.001280365633190525,8
P_age_00_14,9.336930587259797e-4,9
P_poverty,9.082746246859559e-4,10
Total_residents,8.867900396323194e-4,11
P_migrants,7.753415948971774e-4,12
P_female,7.666543793146139e-4,13
P_working,6.809571820478188e-4,14
Mean_occupants,6.229021177169658e-4,15
P_car,6.141272277455112e-4,16
P_age_15_39,5.620713570313471e-4,17
Current_income,5.257585223072949e-4,18
P_educational_lag,4.7115242937227294e-4,19
P_university_studies,4.644892200937125e-4,20
P_cell_phone,4.2759122399394953e-4,21
Total_houses,3.8553446340072403e-4,22
P_disability,3.8150050268271924e-4,23
P_afrodescendants,3.599688357969823e-4,24
P_lack_quality_living_spaces,3.480485182287288e-4,25
Mean_age,2.948594494028949e-4,26
P_vulnerable_income,2.577028940754535e-4,27
P_age_65_more,2.0398528815872974e-4,28
