eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,2339,0.05220543693173003
0.05,1,1,0.65,0.8,0,0,748,0.048824216351550924
0.1,1,1,0.65,0.8,0,0,254,0.051997993055660725
0.3,1,1,0.65,0.8,0,0,174,0.047801856491288354
0.01,3,1,0.65,0.8,0,0,2152,0.030870737458722312
0.05,3,1,0.65,0.8,0,0,459,0.03223517821097733
0.1,3,1,0.65,0.8,0,0,249,0.032922385528007
0.3,3,1,0.65,0.8,0,0,97,0.038210817655898656
0.01,5,1,0.65,0.8,0,0,1322,0.03112257093432431
0.05,5,1,0.65,0.8,0,0,315,0.03274534460907537
0.1,5,1,0.65,0.8,0,0,138,0.03368089148815048
0.3,5,1,0.65,0.8,0,0,42,0.03817295552661426
0.01,7,1,0.65,0.8,0,0,1307,0.03195231112048807
0.05,7,1,0.65,0.8,0,0,216,0.03345824058953832
0.1,7,1,0.65,0.8,0,0,98,0.03499097146939076
0.3,7,1,0.65,0.8,0,0,24,0.03900975757804909
0.01,1,3,0.65,0.8,0,0,1920,0.05343349698224095
0.05,1,3,0.65,0.8,0,0,748,0.048957728797654004
0.1,1,3,0.65,0.8,0,0,259,0.051618802885606836
0.3,1,3,0.65,0.8,0,0,175,0.047130558796860095
0.01,3,3,0.65,0.8,0,0,2027,0.030151894594414516
0.05,3,3,0.65,0.8,0,0,584,0.030438434296172812
0.1,3,3,0.65,0.8,0,0,349,0.030866437137873133
0.3,3,3,0.65,0.8,0,0,48,0.0353569701110051
0.01,5,3,0.65,0.8,0,0,1308,0.02903643330934023
0.05,5,3,0.65,0.8,0,0,426,0.03097652753261521
0.1,5,3,0.65,0.8,0,0,228,0.03232725038477741
0.3,5,3,0.65,0.8,0,0,36,0.03818988539108945
0.01,7,3,0.65,0.8,0,0,643,0.030136271138988983
0.05,7,3,0.65,0.8,0,0,176,0.03189553580171708
0.1,7,3,0.65,0.8,0,0,155,0.03258446755486724
0.3,7,3,0.65,0.8,0,0,90,0.040058112099454944
0.01,1,5,0.65,0.8,0,0,1919,0.05330699692860518
0.05,1,5,0.65,0.8,0,0,603,0.05032229002915178
0.1,1,5,0.65,0.8,0,0,335,0.04994138819916538
0.3,1,5,0.65,0.8,0,0,83,0.051737005888158785
0.01,3,5,0.65,0.8,0,0,2026,0.029208242753828686
0.05,3,5,0.65,0.8,0,0,488,0.029982075911778622
0.1,3,5,0.65,0.8,0,0,363,0.02936370404097849
0.3,3,5,0.65,0.8,0,0,98,0.03187329802490444
0.01,5,5,0.65,0.8,0,0,1259,0.029428991135203177
0.05,5,5,0.65,0.8,0,0,290,0.02999307380398968
0.1,5,5,0.65,0.8,0,0,58,0.033030821429570055
0.3,5,5,0.65,0.8,0,0,46,0.037225577984382176
0.01,7,5,0.65,0.8,0,0,651,0.03137237311925896
0.05,7,5,0.65,0.8,0,0,195,0.03147905811826239
0.1,7,5,0.65,0.8,0,0,61,0.03382939297791942
0.3,7,5,0.65,0.8,0,0,28,0.038514265954223144
0.01,1,7,0.65,0.8,0,0,2362,0.05111083885060312
0.05,1,7,0.65,0.8,0,0,539,0.04982068625683666
0.1,1,7,0.65,0.8,0,0,259,0.05088920436836721
0.3,1,7,0.65,0.8,0,0,177,0.0469712977619129
