feature,importance_value,rank
bias_w,0.021805007357680876,1
P_age_00_14,0.008764399142562038,2
P_educational_lag,0.00858036238475493,3
P_poverty,0.008530617925431166,4
P_age_15_39,0.008465434551914034,5
Total_residents,0.0075344209369233115,6
Total_houses,0.006743630470401611,7
P_internet,0.0066945345449292894,8
P_lack_quality_living_spaces,0.005520303848837848,9
P_car,0.005272179469695336,10
P_university_studies,0.004872117918723236,11
P_age_65_more,0.004683617223672352,12
P_cell_phone,0.004439446110651675,13
longitude,0.00429935159210533,14
P_read_write,0.004214595152957131,15
Current_income,0.004095046972892461,16
P_indigenous_language,0.003936906186223748,17
P_migrants,0.0037500527968558307,18
P_extreme_poverty,0.0031726664696622962,19
P_vulnerable_income,0.003145337155145375,20
latitude,0.0030802748541666654,21
P_electricity,0.0030255412667102113,22
P_afrodescendants,0.0029818074036848476,23
P_working,0.0029046759626229334,24
P_female,0.0026905442192745052,25
P_disability,0.0023732147070318226,26
Mean_occupants,0.002245410320908345,27
Mean_age,0.0017193147820367563,28
