eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,491,0.08096510138334626
0.05,1,1,0.65,0.8,0,0,114,0.08090433063735011
0.1,1,1,0.65,0.8,0,0,51,0.08105540976506768
0.3,1,1,0.65,0.8,0,0,15,0.08184007767997646
0.01,3,1,0.65,0.8,0,0,494,0.07975091134364248
0.05,3,1,0.65,0.8,0,0,83,0.08085262777398043
0.1,3,1,0.65,0.8,0,0,41,0.0812339148124837
0.3,3,1,0.65,0.8,0,0,15,0.08232806351519747
0.01,5,1,0.65,0.8,0,0,464,0.07910303811451605
0.05,5,1,0.65,0.8,0,0,92,0.08039037006583712
0.1,5,1,0.65,0.8,0,0,44,0.08183749901201508
0.3,5,1,0.65,0.8,0,0,13,0.08475132050367248
0.01,7,1,0.65,0.8,0,0,613,0.07953087589023489
0.05,7,1,0.65,0.8,0,0,118,0.08046179336726889
0.1,7,1,0.65,0.8,0,0,91,0.08162356479394124
0.3,7,1,0.65,0.8,0,0,11,0.08720197270950907
0.01,1,3,0.65,0.8,0,0,456,0.08043250814290208
0.05,1,3,0.65,0.8,0,0,149,0.08002458650719091
0.1,1,3,0.65,0.8,0,0,51,0.08011125296642531
0.3,1,3,0.65,0.8,0,0,30,0.08062837582475217
0.01,3,3,0.65,0.8,0,0,502,0.07848202673246034
0.05,3,3,0.65,0.8,0,0,88,0.07958233031453348
0.1,3,3,0.65,0.8,0,0,54,0.079376139205728
0.3,3,3,0.65,0.8,0,0,18,0.08044714817553947
0.01,5,3,0.65,0.8,0,0,437,0.07800437753415508
0.05,5,3,0.65,0.8,0,0,134,0.07824211053601521
0.1,5,3,0.65,0.8,0,0,61,0.08004655641560551
0.3,5,3,0.65,0.8,0,0,13,0.08641477008394742
0.01,7,3,0.65,0.8,0,0,481,0.07761275254679992
0.05,7,3,0.65,0.8,0,0,92,0.07863495319737294
0.1,7,3,0.65,0.8,0,0,46,0.08135537541474298
0.3,7,3,0.65,0.8,0,0,12,0.08517354971132259
0.01,1,5,0.65,0.8,0,0,456,0.08036623752147827
0.05,1,5,0.65,0.8,0,0,118,0.08012931063432889
0.1,1,5,0.65,0.8,0,0,51,0.08026584111855521
0.3,1,5,0.65,0.8,0,0,23,0.08065104340250275
0.01,3,5,0.65,0.8,0,0,532,0.07793768403043035
0.05,3,5,0.65,0.8,0,0,129,0.077925158796503885
0.1,3,5,0.65,0.8,0,0,55,0.07881122569819743
0.3,3,5,0.65,0.8,0,0,15,0.08084555037824075
0.01,5,5,0.65,0.8,0,0,520,0.07755131732368938
0.05,5,5,0.65,0.8,0,0,95,0.0781715783042899
0.1,5,5,0.65,0.8,0,0,54,0.07917530549023023
0.3,5,5,0.65,0.8,0,0,17,0.08115546855076075
0.01,7,5,0.65,0.8,0,0,449,0.07763579734117694
0.05,7,5,0.65,0.8,0,0,90,0.07874795320503218
0.1,7,5,0.65,0.8,0,0,61,0.0786274853322499
0.3,7,5,0.65,0.8,0,0,22,0.08310530593705026
0.01,1,7,0.65,0.8,0,0,518,0.08005612048706158
0.05,1,7,0.65,0.8,0,0,119,0.07995748746273475
0.1,1,7,0.65,0.8,0,0,51,0.08020272073102638
0.3,1,7,0.65,0.8,0,0,16,0.08048479945157945
0.01,3,7,0.65,0.8,0,0,461,0.0775124049070912
0.05,3,7,0.65,0.8,0,0,134,0.07708857563939282
0.1,3,7,0.65,0.8,0,0,49,0.07789369437443455
0.3,3,7,0.65,0.8,0,0,15,0.07815060296321824
0.01,5,7,0.65,0.8,0,0,462,0.07706475296694522
0.05,5,7,0.65,0.8,0,0,120,0.07696697392121585
0.1,5,7,0.65,0.8,0,0,54,0.0791830021845148
0.3,5,7,0.65,0.8,0,0,16,0.08278236338655667
0.01,7,7,0.65,0.8,0,0,461,0.07648283618572672
0.05,7,7,0.65,0.8,0,0,102,0.07720781301229285
0.1,7,7,0.65,0.8,0,0,54,0.07795576409839584
0.3,7,7,0.65,0.8,0,0,17,0.08347845131368883
0.01,1,1,0.8,0.8,0,0,449,0.08078651949959452
0.05,1,1,0.8,0.8,0,0,114,0.08075715367842491
0.1,1,1,0.8,0.8,0,0,51,0.08073976651366457
0.3,1,1,0.8,0.8,0,0,13,0.08100025025325847
0.01,3,1,0.8,0.8,0,0,475,0.07942909398835671
0.05,3,1,0.8,0.8,0,0,110,0.0803120597965477
0.1,3,1,0.8,0.8,0,0,47,0.08061464845449218
0.3,3,1,0.8,0.8,0,0,12,0.08407602960948872
0.01,5,1,0.8,0.8,0,0,494,0.07945430035300291
0.05,5,1,0.8,0.8,0,0,100,0.07925820662908023
0.1,5,1,0.8,0.8,0,0,37,0.081692900998463
0.3,5,1,0.8,0.8,0,0,17,0.08396010717777866
0.01,7,1,0.8,0.8,0,0,540,0.07968930202096554
0.05,7,1,0.8,0.8,0,0,134,0.07982244918052397
0.1,7,1,0.8,0.8,0,0,64,0.08201148568247289
0.3,7,1,0.8,0.8,0,0,11,0.0863664560987032
0.01,1,3,0.8,0.8,0,0,454,0.08037337848421841
0.05,1,3,0.8,0.8,0,0,114,0.08011365202088519
0.1,1,3,0.8,0.8,0,0,58,0.08004998304242386
0.3,1,3,0.8,0.8,0,0,26,0.08048214462883833
0.01,3,3,0.8,0.8,0,0,435,0.07818568271648182
0.05,3,3,0.8,0.8,0,0,108,0.07823328369439005
0.1,3,3,0.8,0.8,0,0,55,0.0787361618078753
0.3,3,3,0.8,0.8,0,0,11,0.08343819972821659
0.01,5,3,0.8,0.8,0,0,472,0.07789506739268341
0.05,5,3,0.8,0.8,0,0,108,0.07783844894209926
0.1,5,3,0.8,0.8,0,0,55,0.08017931586307767
0.3,5,3,0.8,0.8,0,0,20,0.08442827222918801
0.01,7,3,0.8,0.8,0,0,471,0.07839050047904328
0.05,7,3,0.8,0.8,0,0,103,0.0793312246579734
0.1,7,3,0.8,0.8,0,0,47,0.08189630352275072
0.3,7,3,0.8,0.8,0,0,15,0.08797488524026198
0.01,1,5,0.8,0.8,0,0,522,0.08022404124823479
0.05,1,5,0.8,0.8,0,0,169,0.07976901400304734
0.1,1,5,0.8,0.8,0,0,61,0.08013804569364626
0.3,1,5,0.8,0.8,0,0,27,0.08070888964351935
0.01,3,5,0.8,0.8,0,0,436,0.07786414207178209
0.05,3,5,0.8,0.8,0,0,110,0.0780305557233761
0.1,3,5,0.8,0.8,0,0,62,0.07840102346661794
0.3,3,5,0.8,0.8,0,0,13,0.08016484049870466
0.01,5,5,0.8,0.8,0,0,508,0.07702727907930955
0.05,5,5,0.8,0.8,0,0,120,0.0779573256588543
0.1,5,5,0.8,0.8,0,0,58,0.07849150312395552
0.3,5,5,0.8,0.8,0,0,11,0.08120295203100199
0.01,7,5,0.8,0.8,0,0,473,0.07725441068819063
0.05,7,5,0.8,0.8,0,0,86,0.0777176138275692
0.1,7,5,0.8,0.8,0,0,90,0.07798100697036037
0.3,7,5,0.8,0.8,0,0,11,0.08386840859712869
