feature,importance_value,rank
P_internet,0.0135348040562189,1
P_read_write,0.012603144212896588,2
P_age_00_14,0.011993403579245172,3
P_age_15_39,0.009929328871286763,4
Total_residents,0.008740464825029442,5
P_educational_lag,0.008522069343623597,6
P_poverty,0.007528598728718888,7
longitude,0.006637954663927294,8
Current_income,0.0060289256026343635,9
Total_houses,0.005242819102632291,10
P_age_65_more,0.0047816318002024405,11
P_migrants,0.0041996039179543546,12
P_indigenous_language,0.0041769417249612585,13
P_lack_quality_living_spaces,0.004136391762788024,14
P_university_studies,0.0037514203616736785,15
P_vulnerable_income,0.0036960669365529515,16
P_car,0.0035633095795177933,17
P_electricity,0.0035186736338886112,18
P_cell_phone,0.0030666991800359705,19
P_female,0.0030172550150639084,20
latitude,0.0029856959754265945,21
P_disability,0.0027557641526231975,22
P_afrodescendants,0.002545436030853501,23
Mean_occupants,0.0023387285251499,24
P_working,0.0018151874164708795,25
P_extreme_poverty,0.0017351433088842094,26
Mean_age,0.0011114871669930127,27
