eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,654,0.08366711308466859
0.05,1,1,0.65,0.8,0,0,149,0.08356103794241376
0.1,1,1,0.65,0.8,0,0,100,0.08294940894811742
0.3,1,1,0.65,0.8,0,0,69,0.08269044948661627
0.01,3,1,0.65,0.8,0,0,486,0.08148358112596837
0.05,3,1,0.65,0.8,0,0,103,0.0810979233146903
0.1,3,1,0.65,0.8,0,0,68,0.08280702694380603
0.3,3,1,0.65,0.8,0,0,11,0.08340321065942793
0.01,5,1,0.65,0.8,0,0,468,0.08076544448683134
0.05,5,1,0.65,0.8,0,0,102,0.08133799156200072
0.1,5,1,0.65,0.8,0,0,48,0.08315871374350964
0.3,5,1,0.65,0.8,0,0,11,0.08828004291045202
0.01,7,1,0.65,0.8,0,0,586,0.0807678902563363
0.05,7,1,0.65,0.8,0,0,123,0.08061789839991404
0.1,7,1,0.65,0.8,0,0,58,0.08286771803259278
0.3,7,1,0.65,0.8,0,0,13,0.08879550222253339
0.01,1,3,0.65,0.8,0,0,905,0.08254376588274595
0.05,1,3,0.65,0.8,0,0,225,0.08227855543904748
0.1,1,3,0.65,0.8,0,0,128,0.08191776916186091
0.3,1,3,0.65,0.8,0,0,68,0.08156241549188639
0.01,3,3,0.65,0.8,0,0,435,0.08086138947817442
0.05,3,3,0.65,0.8,0,0,99,0.08079157471110544
0.1,3,3,0.65,0.8,0,0,50,0.08178942383587946
0.3,3,3,0.65,0.8,0,0,16,0.08243151233343755
0.01,5,3,0.65,0.8,0,0,487,0.07992806779382086
0.05,5,3,0.65,0.8,0,0,104,0.08093836987214194
0.1,5,3,0.65,0.8,0,0,52,0.08088069356505725
0.3,5,3,0.65,0.8,0,0,10,0.08773919714129765
0.01,7,3,0.65,0.8,0,0,485,0.07969106787563905
0.05,7,3,0.65,0.8,0,0,109,0.08081573345378824
0.1,7,3,0.65,0.8,0,0,43,0.08200707527766223
0.3,7,3,0.65,0.8,0,0,13,0.08497465715844882
0.01,1,5,0.65,0.8,0,0,904,0.08234873627850979
0.05,1,5,0.65,0.8,0,0,225,0.08210288731628912
0.1,1,5,0.65,0.8,0,0,130,0.08160809642462453
0.3,1,5,0.65,0.8,0,0,46,0.08170306709545484
0.01,3,5,0.65,0.8,0,0,486,0.07998219576529085
0.05,3,5,0.65,0.8,0,0,116,0.08009574241210461
0.1,3,5,0.65,0.8,0,0,53,0.080209590949162
0.3,3,5,0.65,0.8,0,0,14,0.0828002193276122
0.01,5,5,0.65,0.8,0,0,477,0.0797597711327379
0.05,5,5,0.65,0.8,0,0,116,0.07976904009803325
0.1,5,5,0.65,0.8,0,0,51,0.08183144697340693
0.3,5,5,0.65,0.8,0,0,12,0.08463034527586644
0.01,7,5,0.65,0.8,0,0,522,0.07947489469253793
0.05,7,5,0.65,0.8,0,0,132,0.08003358585857256
0.1,7,5,0.65,0.8,0,0,47,0.08188935535062603
0.3,7,5,0.65,0.8,0,0,12,0.08638183232131441
0.01,1,7,0.65,0.8,0,0,1302,0.08177716793940457
0.05,1,7,0.65,0.8,0,0,225,0.08205456174954402
0.1,1,7,0.65,0.8,0,0,165,0.08156128088603766
0.3,1,7,0.65,0.8,0,0,46,0.08162446868729666
0.01,3,7,0.65,0.8,0,0,489,0.07982800498550555
0.05,3,7,0.65,0.8,0,0,119,0.0799846576822154
0.1,3,7,0.65,0.8,0,0,75,0.08039074590243452
0.3,3,7,0.65,0.8,0,0,13,0.0826939846273614
0.01,5,7,0.65,0.8,0,0,518,0.07906523913320329
0.05,5,7,0.65,0.8,0,0,117,0.07978750909489932
0.1,5,7,0.65,0.8,0,0,52,0.08062739218140619
0.3,5,7,0.65,0.8,0,0,13,0.08327376496462509
0.01,7,7,0.65,0.8,0,0,435,0.07922245200676575
0.05,7,7,0.65,0.8,0,0,103,0.0795860491147498
0.1,7,7,0.65,0.8,0,0,51,0.08043785993587044
0.3,7,7,0.65,0.8,0,0,15,0.08600819242022296
0.01,1,1,0.8,0.8,0,0,575,0.08361039011226794
0.05,1,1,0.8,0.8,0,0,147,0.0832813748143999
0.1,1,1,0.8,0.8,0,0,57,0.08361894987377931
0.3,1,1,0.8,0.8,0,0,42,0.08288379276710386
0.01,3,1,0.8,0.8,0,0,515,0.08162283986013484
0.05,3,1,0.8,0.8,0,0,98,0.08116936899584556
0.1,3,1,0.8,0.8,0,0,69,0.08084537286652317
0.3,3,1,0.8,0.8,0,0,13,0.08482739316866762
0.01,5,1,0.8,0.8,0,0,508,0.08063929714240627
0.05,5,1,0.8,0.8,0,0,107,0.08139550858277156
0.1,5,1,0.8,0.8,0,0,45,0.08229338186455815
0.3,5,1,0.8,0.8,0,0,15,0.08531088138711673
0.01,7,1,0.8,0.8,0,0,542,0.08040082727596339
0.05,7,1,0.8,0.8,0,0,112,0.08033098421715909
0.1,7,1,0.8,0.8,0,0,55,0.08096863710797553
0.3,7,1,0.8,0.8,0,0,12,0.08725690758433374
0.01,1,3,0.8,0.8,0,0,667,0.0829511754693782
0.05,1,3,0.8,0.8,0,0,246,0.08215033899641296
0.1,1,3,0.8,0.8,0,0,231,0.0815263356736396
0.3,1,3,0.8,0.8,0,0,56,0.0818207212757672
0.01,3,3,0.8,0.8,0,0,469,0.08067960559462664
0.05,3,3,0.8,0.8,0,0,111,0.08021743136238821
0.1,3,3,0.8,0.8,0,0,85,0.08132844434033636
0.3,3,3,0.8,0.8,0,0,13,0.08438109813595349
0.01,5,3,0.8,0.8,0,0,524,0.07991516157347331
0.05,5,3,0.8,0.8,0,0,94,0.08115716200592281
0.1,5,3,0.8,0.8,0,0,65,0.08051876023984718
0.3,5,3,0.8,0.8,0,0,11,0.0853990351741685
0.01,7,3,0.8,0.8,0,0,500,0.07987406403295404
0.05,7,3,0.8,0.8,0,0,111,0.08110317363336812
0.1,7,3,0.8,0.8,0,0,52,0.08190112381337789
0.3,7,3,0.8,0.8,0,0,10,0.08754426029156133
0.01,1,5,0.8,0.8,0,0,953,0.08230416603824262
0.05,1,5,0.8,0.8,0,0,213,0.08215137479563828
0.1,1,5,0.8,0.8,0,0,182,0.08172179811006698
0.3,1,5,0.8,0.8,0,0,53,0.08184616323053119
0.01,3,5,0.8,0.8,0,0,454,0.08017983528933956
0.05,3,5,0.8,0.8,0,0,97,0.08017736447327711
0.1,3,5,0.8,0.8,0,0,48,0.08031433088314353
0.3,3,5,0.8,0.8,0,0,15,0.08359664647149917
0.01,5,5,0.8,0.8,0,0,477,0.07955649373447887
0.05,5,5,0.8,0.8,0,0,100,0.07971540426158934
0.1,5,5,0.8,0.8,0,0,55,0.08026792210647674
0.3,5,5,0.8,0.8,0,0,14,0.08291329147861898
