feature,importance_value,rank
bias_w,0.020033185944049306,1
P_internet,0.00904970700134897,2
P_age_00_14,0.008344092132311692,3
Total_residents,0.008305111011543987,4
P_age_15_39,0.008105239664625733,5
P_educational_lag,0.006901127510716211,6
Total_houses,0.006468825622591772,7
P_poverty,0.005995570366432714,8
P_lack_quality_living_spaces,0.005767366353727177,9
P_migrants,0.005159973618493118,10
Current_income,0.005110940142754034,11
P_read_write,0.005020184821462112,12
latitude,0.0045497284960994274,13
longitude,0.004445334451088316,14
P_cell_phone,0.004105529562098915,15
P_car,0.004078154984691804,16
P_indigenous_language,0.00405241240129738,17
P_age_65_more,0.003807180157957951,18
P_university_studies,0.0036265551847700548,19
P_extreme_poverty,0.0033555578359201702,20
P_female,0.0032751122525242478,21
P_afrodescendants,0.003137510600922126,22
P_electricity,0.0030519079974259842,23
P_vulnerable_income,0.002536113582084634,24
P_disability,0.0025022214485774545,25
P_working,0.0020034313916014123,26
Mean_occupants,0.001702843039674792,27
Mean_age,0.0013672531522188152,28
