eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,476,0.08099091316576974
0.05,1,1,0.65,0.8,0,0,114,0.08108225173976426
0.1,1,1,0.65,0.8,0,0,54,0.08124234684899248
0.3,1,1,0.65,0.8,0,0,19,0.08052650524507014
0.01,3,1,0.65,0.8,0,0,417,0.0816591407331004
0.05,3,1,0.65,0.8,0,0,79,0.08299975284522955
0.1,3,1,0.65,0.8,0,0,40,0.08261124490635427
0.3,3,1,0.65,0.8,0,0,11,0.08355837663232953
0.01,5,1,0.65,0.8,0,0,468,0.08153885048695009
0.05,5,1,0.65,0.8,0,0,91,0.08323198049615976
0.1,5,1,0.65,0.8,0,0,42,0.08375085437301392
0.3,5,1,0.65,0.8,0,0,13,0.08686318202540459
0.01,7,1,0.65,0.8,0,0,566,0.08135681610530811
0.05,7,1,0.65,0.8,0,0,108,0.08301377460876566
0.1,7,1,0.65,0.8,0,0,52,0.08374330218449964
0.3,7,1,0.65,0.8,0,0,18,0.09079728338555475
0.01,1,3,0.65,0.8,0,0,476,0.08031491265280909
0.05,1,3,0.65,0.8,0,0,115,0.08018614672210576
0.1,1,3,0.65,0.8,0,0,54,0.08030563322903839
0.3,1,3,0.65,0.8,0,0,19,0.07950686400139426
0.01,3,3,0.65,0.8,0,0,442,0.0804445135940528
0.05,3,3,0.65,0.8,0,0,88,0.08158324890159036
0.1,3,3,0.65,0.8,0,0,60,0.08204967760449786
0.3,3,3,0.65,0.8,0,0,11,0.0850838412534132
0.01,5,3,0.65,0.8,0,0,437,0.08039216655431337
0.05,5,3,0.65,0.8,0,0,82,0.08187370079121849
0.1,5,3,0.65,0.8,0,0,58,0.0828416657836567
0.3,5,3,0.65,0.8,0,0,9,0.08707365544185906
0.01,7,3,0.65,0.8,0,0,420,0.08031942657988189
0.05,7,3,0.65,0.8,0,0,101,0.08149090085033876
0.1,7,3,0.65,0.8,0,0,41,0.08372360015503323
0.3,7,3,0.65,0.8,0,0,13,0.08768695936889959
0.01,1,5,0.65,0.8,0,0,476,0.08022374664885033
0.05,1,5,0.65,0.8,0,0,125,0.08004814035442924
0.1,1,5,0.65,0.8,0,0,54,0.08021479123782667
0.3,1,5,0.65,0.8,0,0,20,0.07916243313686125
0.01,3,5,0.65,0.8,0,0,476,0.07978990842008055
0.05,3,5,0.65,0.8,0,0,106,0.08064224054319352
0.1,3,5,0.65,0.8,0,0,43,0.08156782477147656
0.3,3,5,0.65,0.8,0,0,13,0.08155414558081296
0.01,5,5,0.65,0.8,0,0,397,0.08000891677464118
0.05,5,5,0.65,0.8,0,0,82,0.07982024095003766
0.1,5,5,0.65,0.8,0,0,43,0.08078839873281125
0.3,5,5,0.65,0.8,0,0,11,0.08508513485021418
0.01,7,5,0.65,0.8,0,0,397,0.07998851079769811
0.05,7,5,0.65,0.8,0,0,88,0.08088754467992776
0.1,7,5,0.65,0.8,0,0,46,0.08263340419353181
0.3,7,5,0.65,0.8,0,0,13,0.08686615249363222
0.01,1,7,0.65,0.8,0,0,476,0.08017572946226943
0.05,1,7,0.65,0.8,0,0,123,0.079958229129197
0.1,1,7,0.65,0.8,0,0,60,0.0801231878745541
0.3,1,7,0.65,0.8,0,0,19,0.07929366593120571
0.01,3,7,0.65,0.8,0,0,464,0.07903433852672628
0.05,3,7,0.65,0.8,0,0,89,0.07916984260102952
0.1,3,7,0.65,0.8,0,0,55,0.07970952363983178
0.3,3,7,0.65,0.8,0,0,13,0.080058529057428
0.01,5,7,0.65,0.8,0,0,421,0.07871131583446105
0.05,5,7,0.65,0.8,0,0,89,0.07912616867678265
0.1,5,7,0.65,0.8,0,0,71,0.07987572184650284
0.3,5,7,0.65,0.8,0,0,16,0.08508473163471855
0.01,7,7,0.65,0.8,0,0,451,0.0788109319651383
0.05,7,7,0.65,0.8,0,0,88,0.07901473812549212
0.1,7,7,0.65,0.8,0,0,45,0.08023044886473825
0.3,7,7,0.65,0.8,0,0,13,0.08551777659195961
0.01,1,1,0.8,0.8,0,0,476,0.08081353598166198
0.05,1,1,0.8,0.8,0,0,104,0.08057044658035442
0.1,1,1,0.8,0.8,0,0,53,0.08079481406183225
0.3,1,1,0.8,0.8,0,0,21,0.08102429882484735
0.01,3,1,0.8,0.8,0,0,436,0.08221794118511482
0.05,3,1,0.8,0.8,0,0,82,0.08264729510608064
0.1,3,1,0.8,0.8,0,0,38,0.08285364295106862
0.3,3,1,0.8,0.8,0,0,14,0.08248683823319031
0.01,5,1,0.8,0.8,0,0,537,0.08242265423373302
0.05,5,1,0.8,0.8,0,0,100,0.08375488128333275
0.1,5,1,0.8,0.8,0,0,47,0.08386001834208062
0.3,5,1,0.8,0.8,0,0,12,0.08978602564416596
0.01,7,1,0.8,0.8,0,0,537,0.08235360087465196
0.05,7,1,0.8,0.8,0,0,108,0.08322504590127067
0.1,7,1,0.8,0.8,0,0,64,0.0844832670483447
0.3,7,1,0.8,0.8,0,0,14,0.09299046705890646
0.01,1,3,0.8,0.8,0,0,507,0.08025555270939114
0.05,1,3,0.8,0.8,0,0,111,0.08000455499533314
0.1,1,3,0.8,0.8,0,0,53,0.08028737119708601
0.3,1,3,0.8,0.8,0,0,24,0.08036226461090115
0.01,3,3,0.8,0.8,0,0,475,0.08084781233802622
0.05,3,3,0.8,0.8,0,0,82,0.08100742625189014
0.1,3,3,0.8,0.8,0,0,63,0.08246225666865553
0.3,3,3,0.8,0.8,0,0,12,0.0837795424535759
0.01,5,3,0.8,0.8,0,0,486,0.0807196977355836
0.05,5,3,0.8,0.8,0,0,124,0.08177623505549414
0.1,5,3,0.8,0.8,0,0,51,0.08429250194425283
0.3,5,3,0.8,0.8,0,0,12,0.08572016592340927
0.01,7,3,0.8,0.8,0,0,529,0.08074518376507692
0.05,7,3,0.8,0.8,0,0,102,0.08269142724149153
0.1,7,3,0.8,0.8,0,0,53,0.08338056888341394
0.3,7,3,0.8,0.8,0,0,10,0.08793555828878098
0.01,1,5,0.8,0.8,0,0,507,0.08019475287599259
0.05,1,5,0.8,0.8,0,0,111,0.07995053646360051
0.1,1,5,0.8,0.8,0,0,60,0.08017643042504063
0.3,1,5,0.8,0.8,0,0,26,0.0800540656339187
0.01,3,5,0.8,0.8,0,0,500,0.08010739294728686
0.05,3,5,0.8,0.8,0,0,106,0.08042192662100167
0.1,3,5,0.8,0.8,0,0,63,0.08091818345059835
0.3,3,5,0.8,0.8,0,0,11,0.08174910366968385
0.01,5,5,0.8,0.8,0,0,481,0.08009660899029704
0.05,5,5,0.8,0.8,0,0,101,0.08039318125657995
0.1,5,5,0.8,0.8,0,0,60,0.08135183131744278
0.3,5,5,0.8,0.8,0,0,12,0.08466976687914997
0.01,7,5,0.8,0.8,0,0,479,0.08046686940265604
0.05,7,5,0.8,0.8,0,0,106,0.08100613263223776
0.1,7,5,0.8,0.8,0,0,58,0.0814236790699959
0.3,7,5,0.8,0.8,0,0,12,0.08547661768135385
0.01,1,7,0.8,0.8,0,0,568,0.08008235950335005
0.05,1,7,0.8,0.8,0,0,111,0.07995088629813779
0.1,1,7,0.8,0.8,0,0,64,0.08012813785100004
0.3,1,7,0.8,0.8,0,0,26,0.08011817726775187
0.01,3,7,0.8,0.8,0,0,508,0.0795600796080259
0.05,3,7,0.8,0.8,0,0,95,0.07993835385911909
0.1,3,7,0.8,0.8,0,0,60,0.08016640214858023
0.3,3,7,0.8,0.8,0,0,12,0.07900911689368412
0.01,5,7,0.8,0.8,0,0,434,0.07953295877158678
0.05,5,7,0.8,0.8,0,0,88,0.08002538992672338
0.1,5,7,0.8,0.8,0,0,57,0.0805150901732408
0.3,5,7,0.8,0.8,0,0,11,0.08177577477776998
0.01,7,7,0.8,0.8,0,0,432,0.07937608642938847
0.05,7,7,0.8,0.8,0,0,79,0.08042096819635226
0.1,7,7,0.8,0.8,0,0,46,0.08024819900865342
0.3,7,7,0.8,0.8,0,0,11,0.08428409896109511
0.01,1,1,1,0.8,0,0,612,0.08057932664402684
0.05,1,1,1,0.8,0,0,125,0.08050612906495509
0.1,1,1,1,0.8,0,0,58,0.08045387963584566
0.3,1,1,1,0.8,0,0,35,0.08037772495367633
0.01,3,1,1,0.8,0,0,496,0.08245164144563417
0.05,3,1,1,0.8,0,0,91,0.08241306831652825
0.1,3,1,1,0.8,0,0,42,0.08353397992228301
0.3,3,1,1,0.8,0,0,14,0.08606308150068316
0.01,5,1,1,0.8,0,0,552,0.0847568334883274
0.05,5,1,1,0.8,0,0,114,0.08519965310199679
0.1,5,1,1,0.8,0,0,53,0.08616018049780544
0.3,5,1,1,0.8,0,0,16,0.08985707578573013
0.01,7,1,1,0.8,0,0,619,0.0874295310869091
0.05,7,1,1,0.8,0,0,123,0.08705404550942102
0.1,7,1,1,0.8,0,0,52,0.08853461638741655
0.3,7,1,1,0.8,0,0,18,0.09360255844199594
0.01,1,3,1,0.8,0,0,630,0.08006617969009984
0.05,1,3,1,0.8,0,0,175,0.07983986272507496
0.1,1,3,1,0.8,0,0,86,0.07983440804552358
0.3,1,3,1,0.8,0,0,26,0.07974322146381622
0.01,3,3,1,0.8,0,0,497,0.08120518268844357
0.05,3,3,1,0.8,0,0,91,0.08133245139407388
0.1,3,3,1,0.8,0,0,42,0.08208683887522797
0.3,3,3,1,0.8,0,0,16,0.08286199247432591
0.01,5,3,1,0.8,0,0,515,0.08270578236509521
0.05,5,3,1,0.8,0,0,129,0.08247655032246563
0.1,5,3,1,0.8,0,0,65,0.08365321043113318
0.3,5,3,1,0.8,0,0,14,0.08497162095004977
0.01,7,3,1,0.8,0,0,644,0.08320103095366238
0.05,7,3,1,0.8,0,0,121,0.08407665072748446
0.1,7,3,1,0.8,0,0,60,0.08383807446947027
0.3,7,3,1,0.8,0,0,13,0.08589108455657535
0.01,1,5,1,0.8,0,0,901,0.07974661778600099
0.05,1,5,1,0.8,0,0,175,0.0797073972836162
