feature,importance_value,rank
bias_w,0.021795530635035396,1
P_internet,0.009652331233601236,2
P_age_00_14,0.008501027165223825,3
P_age_15_39,0.008065649097111572,4
P_lack_quality_living_spaces,0.006805404595764769,5
P_poverty,0.00655077897405585,6
P_educational_lag,0.006403198200696165,7
Total_residents,0.005858613624376006,8
Total_houses,0.005715164971069594,9
latitude,0.005670441302624742,10
P_read_write,0.005500568950638944,11
P_migrants,0.004024640276535327,12
P_indigenous_language,0.0034474233809592505,13
Current_income,0.0034338501485117147,14
P_extreme_poverty,0.00335321584828314,15
P_age_65_more,0.0031916863047796607,16
longitude,0.002569031367689674,17
P_car,0.002512373672797068,18
P_cell_phone,0.002457099104897899,19
P_university_studies,0.002373120432417093,20
P_vulnerable_income,0.0023576396168320563,21
P_electricity,0.0021908000026214145,22
P_afrodescendants,0.002154150851205829,23
P_disability,0.0021446028107719502,24
Mean_occupants,0.001912397435622387,25
P_female,0.0017756652395453387,26
P_working,0.0017302838666768455,27
Mean_age,0.0016311498541429431,28
