eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,629,0.08232369577154683
0.05,1,1,0.65,0.8,0,0,103,0.08263211204957714
0.1,1,1,0.65,0.8,0,0,86,0.08225662630798432
0.3,1,1,0.65,0.8,0,0,45,0.0825098478008542
0.01,3,1,0.65,0.8,0,0,459,0.07983736777767318
0.05,3,1,0.65,0.8,0,0,91,0.0811070276920168
0.1,3,1,0.65,0.8,0,0,81,0.08081260572230307
0.3,3,1,0.65,0.8,0,0,15,0.08409468770211662
0.01,5,1,0.65,0.8,0,0,474,0.07911713852072827
0.05,5,1,0.65,0.8,0,0,95,0.07965788843275676
0.1,5,1,0.65,0.8,0,0,68,0.08035840980215556
0.3,5,1,0.65,0.8,0,0,10,0.08766017538409974
0.01,7,1,0.65,0.8,0,0,471,0.07915569438171338
0.05,7,1,0.65,0.8,0,0,105,0.08002554121871362
0.1,7,1,0.65,0.8,0,0,70,0.08150852864961565
0.3,7,1,0.65,0.8,0,0,16,0.08543514979575433
0.01,1,3,0.65,0.8,0,0,678,0.08156382642754269
0.05,1,3,0.65,0.8,0,0,224,0.08101425517400047
0.1,1,3,0.65,0.8,0,0,144,0.08082714228876317
0.3,1,3,0.65,0.8,0,0,69,0.08056290149120746
0.01,3,3,0.65,0.8,0,0,540,0.07860326160076503
0.05,3,3,0.65,0.8,0,0,89,0.07931782804046016
0.1,3,3,0.65,0.8,0,0,51,0.07949586240479767
0.3,3,3,0.65,0.8,0,0,13,0.08270619666959445
0.01,5,3,0.65,0.8,0,0,538,0.07792807910229765
0.05,5,3,0.65,0.8,0,0,105,0.07883298810350284
0.1,5,3,0.65,0.8,0,0,52,0.07955012172089619
0.3,5,3,0.65,0.8,0,0,15,0.08224054393554424
0.01,7,3,0.65,0.8,0,0,534,0.07762138665484075
0.05,7,3,0.65,0.8,0,0,87,0.07811135364507951
0.1,7,3,0.65,0.8,0,0,51,0.08070347243882131
0.3,7,3,0.65,0.8,0,0,10,0.08413458957667187
0.01,1,5,0.65,0.8,0,0,678,0.0813961739774963
0.05,1,5,0.65,0.8,0,0,211,0.08086340563515011
0.1,1,5,0.65,0.8,0,0,125,0.08062033343396076
0.3,1,5,0.65,0.8,0,0,69,0.08058683300099487
0.01,3,5,0.65,0.8,0,0,604,0.07770476057996875
0.05,3,5,0.65,0.8,0,0,103,0.07832795073821751
0.1,3,5,0.65,0.8,0,0,47,0.07834529368977464
0.3,3,5,0.65,0.8,0,0,19,0.07894740112471084
0.01,5,5,0.65,0.8,0,0,461,0.07758198314055612
0.05,5,5,0.65,0.8,0,0,101,0.0776184262077909
0.1,5,5,0.65,0.8,0,0,46,0.07876041687959336
0.3,5,5,0.65,0.8,0,0,15,0.08098327209828535
0.01,7,5,0.65,0.8,0,0,489,0.0773876897703876
0.05,7,5,0.65,0.8,0,0,92,0.07856736481196902
0.1,7,5,0.65,0.8,0,0,47,0.07779622919085205
0.3,7,5,0.65,0.8,0,0,14,0.0830874550731024
0.01,1,7,0.65,0.8,0,0,678,0.08136655910873654
0.05,1,7,0.65,0.8,0,0,224,0.08068884965465503
0.1,1,7,0.65,0.8,0,0,126,0.08066648191500145
0.3,1,7,0.65,0.8,0,0,65,0.08033843307838803
0.01,3,7,0.65,0.8,0,0,604,0.07690954013234041
0.05,3,7,0.65,0.8,0,0,132,0.07713244754805079
0.1,3,7,0.65,0.8,0,0,63,0.07817610434204689
0.3,3,7,0.65,0.8,0,0,15,0.07882252562157477
0.01,5,7,0.65,0.8,0,0,512,0.07644357097752998
0.05,5,7,0.65,0.8,0,0,120,0.07646765076601779
0.1,5,7,0.65,0.8,0,0,47,0.0777410667815787
0.3,5,7,0.65,0.8,0,0,13,0.08026405391683641
0.01,7,7,0.65,0.8,0,0,537,0.07618753857962052
0.05,7,7,0.65,0.8,0,0,86,0.07723025047034511
0.1,7,7,0.65,0.8,0,0,65,0.076161668781528
0.3,7,7,0.65,0.8,0,0,11,0.08171829106771403
0.01,1,1,0.8,0.8,0,0,555,0.0822606478948335
0.05,1,1,0.8,0.8,0,0,178,0.08193724806395883
0.1,1,1,0.8,0.8,0,0,127,0.08157054311689162
0.3,1,1,0.8,0.8,0,0,52,0.08184974896550948
0.01,3,1,0.8,0.8,0,0,502,0.07987248249910918
0.05,3,1,0.8,0.8,0,0,110,0.08019730564751741
0.1,3,1,0.8,0.8,0,0,64,0.08215234801138424
0.3,3,1,0.8,0.8,0,0,14,0.08414033488863021
0.01,5,1,0.8,0.8,0,0,513,0.07912258417745242
0.05,5,1,0.8,0.8,0,0,102,0.07998187366669816
0.1,5,1,0.8,0.8,0,0,59,0.08086279153297986
0.3,5,1,0.8,0.8,0,0,15,0.08581061617625022
0.01,7,1,0.8,0.8,0,0,602,0.07861064024667692
0.05,7,1,0.8,0.8,0,0,115,0.07920292460201109
0.1,7,1,0.8,0.8,0,0,66,0.08001059409482844
0.3,7,1,0.8,0.8,0,0,13,0.08801124471985576
0.01,1,3,0.8,0.8,0,0,679,0.08152240809785694
0.05,1,3,0.8,0.8,0,0,167,0.08131683666617694
0.1,1,3,0.8,0.8,0,0,121,0.08087869856415301
0.3,1,3,0.8,0.8,0,0,84,0.08062269944277657
0.01,3,3,0.8,0.8,0,0,603,0.07891459502575247
0.05,3,3,0.8,0.8,0,0,99,0.07935740266741673
0.1,3,3,0.8,0.8,0,0,58,0.07982407796046583
0.3,3,3,0.8,0.8,0,0,14,0.08169021195813203
0.01,5,3,0.8,0.8,0,0,494,0.07772430349463562
0.05,5,3,0.8,0.8,0,0,119,0.07865389702667075
0.1,5,3,0.8,0.8,0,0,56,0.0808559191660485
0.3,5,3,0.8,0.8,0,0,14,0.08176961572061225
0.01,7,3,0.8,0.8,0,0,489,0.07784450394923977
0.05,7,3,0.8,0.8,0,0,122,0.0790311382573376
0.1,7,3,0.8,0.8,0,0,51,0.08081288088866899
0.3,7,3,0.8,0.8,0,0,14,0.08413165631437547
0.01,1,5,0.8,0.8,0,0,854,0.08111256782436202
0.05,1,5,0.8,0.8,0,0,224,0.08089479161468967
0.1,1,5,0.8,0.8,0,0,168,0.08058855116675478
0.3,1,5,0.8,0.8,0,0,70,0.0804236041046819
0.01,3,5,0.8,0.8,0,0,516,0.07816481201051684
0.05,3,5,0.8,0.8,0,0,99,0.07891792486818758
0.1,3,5,0.8,0.8,0,0,59,0.07880315882974763
0.3,3,5,0.8,0.8,0,0,14,0.08296293803261265
0.01,5,5,0.8,0.8,0,0,493,0.07721593316367177
0.05,5,5,0.8,0.8,0,0,104,0.07757423743486898
0.1,5,5,0.8,0.8,0,0,54,0.07820531553535917
0.3,5,5,0.8,0.8,0,0,11,0.08105732487497169
0.01,7,5,0.8,0.8,0,0,495,0.07708983085737452
0.05,7,5,0.8,0.8,0,0,106,0.07810810222418421
0.1,7,5,0.8,0.8,0,0,51,0.0791333413271294
0.3,7,5,0.8,0.8,0,0,17,0.0825140587344482
0.01,1,7,0.8,0.8,0,0,854,0.08108737195862153
0.05,1,7,0.8,0.8,0,0,224,0.08083555539208795
0.1,1,7,0.8,0.8,0,0,166,0.0804873772781942
0.3,1,7,0.8,0.8,0,0,63,0.08027050157891112
0.01,3,7,0.8,0.8,0,0,537,0.07762820149650808
0.05,3,7,0.8,0.8,0,0,103,0.07815093485969694
0.1,3,7,0.8,0.8,0,0,63,0.07825935556059153
0.3,3,7,0.8,0.8,0,0,18,0.07965527943426697
0.01,5,7,0.8,0.8,0,0,494,0.07655372838400057
0.05,5,7,0.8,0.8,0,0,92,0.07758520918515159
0.1,5,7,0.8,0.8,0,0,58,0.07733127120969108
0.3,5,7,0.8,0.8,0,0,10,0.08216324421592747
0.01,7,7,0.8,0.8,0,0,489,0.07609260031819651
0.05,7,7,0.8,0.8,0,0,111,0.07657085016139907
0.1,7,7,0.8,0.8,0,0,55,0.07662600542165826
0.3,7,7,0.8,0.8,0,0,13,0.07962119394179214
0.01,1,1,1,0.8,0,0,1066,0.08155491285757244
0.05,1,1,1,0.8,0,0,275,0.08130518301416179
0.1,1,1,1,0.8,0,0,142,0.08123975519353022
0.3,1,1,1,0.8,0,0,44,0.08142530835086546
0.01,3,1,1,0.8,0,0,496,0.0808347727717948
0.05,3,1,1,0.8,0,0,104,0.08066906150691125
0.1,3,1,1,0.8,0,0,54,0.08115212412795347
0.3,3,1,1,0.8,0,0,11,0.08200516729751628
0.01,5,1,1,0.8,0,0,508,0.08040197675411925
0.05,5,1,1,0.8,0,0,137,0.08052907359840132
0.1,5,1,1,0.8,0,0,56,0.08101456689036349
0.3,5,1,1,0.8,0,0,22,0.08480346757966073
0.01,7,1,1,0.8,0,0,670,0.0797065153748839
0.05,7,1,1,0.8,0,0,188,0.08152589707501487
0.1,7,1,1,0.8,0,0,108,0.08149485984788787
0.3,7,1,1,0.8,0,0,15,0.08702997662847296
0.01,1,3,1,0.8,0,0,1411,0.08084302110454485
0.05,1,3,1,0.8,0,0,286,0.08077008627658588
0.1,1,3,1,0.8,0,0,153,0.08072078587335436
0.3,1,3,1,0.8,0,0,56,0.08081236654688408
0.01,3,3,1,0.8,0,0,511,0.08004138547297987
0.05,3,3,1,0.8,0,0,110,0.0802942927291081
0.1,3,3,1,0.8,0,0,57,0.0805427841601358
0.3,3,3,1,0.8,0,0,25,0.08056142212278818
0.01,5,3,1,0.8,0,0,550,0.0784780260289651
0.05,5,3,1,0.8,0,0,100,0.07928385290405597
0.1,5,3,1,0.8,0,0,45,0.07943294307319816
0.3,5,3,1,0.8,0,0,16,0.08079967380380086
0.01,7,3,1,0.8,0,0,481,0.08008776883726679
0.05,7,3,1,0.8,0,0,115,0.08028634706480679
0.1,7,3,1,0.8,0,0,82,0.07978533169722059
0.3,7,3,1,0.8,0,0,12,0.08288728314470223
0.01,1,5,1,0.8,0,0,1457,0.08073883910035666
0.05,1,5,1,0.8,0,0,392,0.0805492428049395
0.1,1,5,1,0.8,0,0,149,0.08059736987468388
0.3,1,5,1,0.8,0,0,53,0.08065553668386818
0.01,3,5,1,0.8,0,0,490,0.07860529168118553
0.05,3,5,1,0.8,0,0,134,0.07853278966740737
0.1,3,5,1,0.8,0,0,70,0.07899798204741733
0.3,3,5,1,0.8,0,0,20,0.08130686383272383
0.01,5,5,1,0.8,0,0,510,0.07835201952352792
0.05,5,5,1,0.8,0,0,108,0.07804802250199261
0.1,5,5,1,0.8,0,0,58,0.0781665019359374
0.3,5,5,1,0.8,0,0,14,0.07942111908723234
0.01,7,5,1,0.8,0,0,512,0.07842749410012288
0.05,7,5,1,0.8,0,0,122,0.0781854418591672
0.1,7,5,1,0.8,0,0,50,0.07906393899164474
0.3,7,5,1,0.8,0,0,12,0.08099035183760875
0.01,1,7,1,0.8,0,0,1664,0.08059732623183213
0.05,1,7,1,0.8,0,0,300,0.08062376463591858
0.1,1,7,1,0.8,0,0,148,0.08057232333873489
0.3,1,7,1,0.8,0,0,57,0.08064100731248769
0.01,3,7,1,0.8,0,0,537,0.07806477568103407
0.05,3,7,1,0.8,0,0,118,0.07839191164257972
0.1,3,7,1,0.8,0,0,68,0.07812161184440448
0.3,3,7,1,0.8,0,0,24,0.07848395096361394
0.01,5,7,1,0.8,0,0,518,0.0778322438603933
0.05,5,7,1,0.8,0,0,117,0.07735586923528881
0.1,5,7,1,0.8,0,0,61,0.07779552380064597
0.3,5,7,1,0.8,0,0,14,0.07970667676680455
0.01,7,7,1,0.8,0,0,539,0.07762398823269151
0.05,7,7,1,0.8,0,0,100,0.07792153749511115
0.1,7,7,1,0.8,0,0,66,0.07817204001613748
0.3,7,7,1,0.8,0,0,12,0.07997747433898678
0.01,1,1,0.65,0.9,0,0,535,0.08255285980188716
0.05,1,1,0.65,0.9,0,0,166,0.08207897991687922
0.1,1,1,0.65,0.9,0,0,86,0.08211565859531873
0.3,1,1,0.65,0.9,0,0,30,0.08222676868725265
0.01,3,1,0.65,0.9,0,0,459,0.08024618812351893
0.05,3,1,0.65,0.9,0,0,107,0.08061118506742718
0.1,3,1,0.65,0.9,0,0,52,0.08115503022623899
0.3,3,1,0.65,0.9,0,0,14,0.0845182504104593
0.01,5,1,0.65,0.9,0,0,467,0.07885980500888846
0.05,5,1,0.65,0.9,0,0,87,0.08016420933205491
0.1,5,1,0.65,0.9,0,0,50,0.08208187845079387
0.3,5,1,0.65,0.9,0,0,13,0.08672622264557596
0.01,7,1,0.65,0.9,0,0,459,0.07934719034256055
0.05,7,1,0.65,0.9,0,0,122,0.07993592234352279
0.1,7,1,0.65,0.9,0,0,54,0.08182741904174948
0.3,7,1,0.65,0.9,0,0,18,0.08813557960881584
0.01,1,3,0.65,0.9,0,0,678,0.08156324367339654
0.05,1,3,0.65,0.9,0,0,184,0.08123949087471617
0.1,1,3,0.65,0.9,0,0,147,0.08075517201375974
0.3,1,3,0.65,0.9,0,0,46,0.08071061060140876
0.01,3,3,0.65,0.9,0,0,589,0.07834661037324384
0.05,3,3,0.65,0.9,0,0,90,0.07897380656212855
0.1,3,3,0.65,0.9,0,0,69,0.07933199808727509
0.3,3,3,0.65,0.9,0,0,21,0.08173066819932473
0.01,5,3,0.65,0.9,0,0,537,0.07799480388946163
0.05,5,3,0.65,0.9,0,0,88,0.07918485183684859
0.1,5,3,0.65,0.9,0,0,47,0.08113969135358473
0.3,5,3,0.65,0.9,0,0,12,0.08172725526074132
0.01,7,3,0.65,0.9,0,0,460,0.07777108924562928
0.05,7,3,0.65,0.9,0,0,98,0.07939411713126257
0.1,7,3,0.65,0.9,0,0,50,0.08090296551598426
0.3,7,3,0.65,0.9,0,0,11,0.08339920554798143
0.01,1,5,0.65,0.9,0,0,678,0.08138603945572259
0.05,1,5,0.65,0.9,0,0,184,0.0810850077837448
0.1,1,5,0.65,0.9,0,0,144,0.0804434238315354
0.3,1,5,0.65,0.9,0,0,46,0.08078225212961553
0.01,3,5,0.65,0.9,0,0,588,0.07786273064511062
0.05,3,5,0.65,0.9,0,0,125,0.07784149757429837
0.1,3,5,0.65,0.9,0,0,81,0.07890955164516983
0.3,3,5,0.65,0.9,0,0,15,0.08035894224813987
0.01,5,5,0.65,0.9,0,0,432,0.07751406900762697
0.05,5,5,0.65,0.9,0,0,87,0.07764853075393749
0.1,5,5,0.65,0.9,0,0,51,0.07838499716420902
0.3,5,5,0.65,0.9,0,0,15,0.08132550817732898
0.01,7,5,0.65,0.9,0,0,426,0.07739558363288125
0.05,7,5,0.65,0.9,0,0,95,0.07747299590296254
0.1,7,5,0.65,0.9,0,0,45,0.07878576761502158
0.3,7,5,0.65,0.9,0,0,14,0.08119949133358048
0.01,1,7,0.65,0.9,0,0,678,0.08135245878489542
0.05,1,7,0.65,0.9,0,0,224,0.08067554489715788
0.1,1,7,0.65,0.9,0,0,141,0.08046922765830619
0.3,1,7,0.65,0.9,0,0,70,0.08014491338580615
0.01,3,7,0.65,0.9,0,0,588,0.07706067409407193
0.05,3,7,0.65,0.9,0,0,138,0.07741592620025399
0.1,3,7,0.65,0.9,0,0,64,0.07819156539518327
0.3,3,7,0.65,0.9,0,0,21,0.08046731198921411
0.01,5,7,0.65,0.9,0,0,429,0.07645882806394734
0.05,5,7,0.65,0.9,0,0,107,0.07680169043967683
0.1,5,7,0.65,0.9,0,0,51,0.07814620717615088
0.3,5,7,0.65,0.9,0,0,16,0.08094860236807594
0.01,7,7,0.65,0.9,0,0,463,0.07613578874453392
0.05,7,7,0.65,0.9,0,0,91,0.07684403266778103
0.1,7,7,0.65,0.9,0,0,69,0.07817259074782312
0.3,7,7,0.65,0.9,0,0,10,0.08207671553193185
0.01,1,1,0.8,0.9,0,0,555,0.08226926285433316
0.05,1,1,0.8,0.9,0,0,180,0.08190393272874898
0.1,1,1,0.8,0.9,0,0,110,0.08163403164981228
0.3,1,1,0.8,0.9,0,0,55,0.08161386189778375
0.01,3,1,0.8,0.9,0,0,499,0.08014790854480451
0.05,3,1,0.8,0.9,0,0,92,0.08142463298145602
0.1,3,1,0.8,0.9,0,0,71,0.08060972332161691
0.3,3,1,0.8,0.9,0,0,14,0.08620929085143839
0.01,5,1,0.8,0.9,0,0,494,0.07928340954116389
0.05,5,1,0.8,0.9,0,0,103,0.08007754007505702
0.1,5,1,0.8,0.9,0,0,54,0.08080289292862032
0.3,5,1,0.8,0.9,0,0,13,0.08614901130038422
0.01,7,1,0.8,0.9,0,0,577,0.07906676871742334
0.05,7,1,0.8,0.9,0,0,118,0.0804722695420508
0.1,7,1,0.8,0.9,0,0,54,0.08095332635281574
0.3,7,1,0.8,0.9,0,0,13,0.08750515719165641
0.01,1,3,0.8,0.9,0,0,942,0.08115188695255178
0.05,1,3,0.8,0.9,0,0,224,0.08102864431128033
0.1,1,3,0.8,0.9,0,0,154,0.08053993228860941
0.3,1,3,0.8,0.9,0,0,61,0.08057426099206944
0.01,3,3,0.8,0.9,0,0,514,0.07907911369365407
0.05,3,3,0.8,0.9,0,0,100,0.07937188712335788
0.1,3,3,0.8,0.9,0,0,64,0.07929304069969847
0.3,3,3,0.8,0.9,0,0,20,0.08405953755233986
0.01,5,3,0.8,0.9,0,0,543,0.0778453164401841
0.05,5,3,0.8,0.9,0,0,94,0.07825026598739508
0.1,5,3,0.8,0.9,0,0,49,0.0802577442617888
0.3,5,3,0.8,0.9,0,0,12,0.08330102547636373
0.01,7,3,0.8,0.9,0,0,505,0.07776183872195458
0.05,7,3,0.8,0.9,0,0,94,0.07861237749794928
0.1,7,3,0.8,0.9,0,0,47,0.08078598144435484
0.3,7,3,0.8,0.9,0,0,12,0.0849251329866196
0.01,1,5,0.8,0.9,0,0,1078,0.08079625245259685
0.05,1,5,0.8,0.9,0,0,224,0.08083324830499347
0.1,1,5,0.8,0.9,0,0,112,0.08067456528388792
0.3,1,5,0.8,0.9,0,0,46,0.08056044953646074
0.01,3,5,0.8,0.9,0,0,537,0.07832822633444643
0.05,3,5,0.8,0.9,0,0,92,0.07902309787153922
0.1,3,5,0.8,0.9,0,0,56,0.07949497552298904
0.3,3,5,0.8,0.9,0,0,14,0.08258786553183502
0.01,5,5,0.8,0.9,0,0,494,0.07732260686919219
0.05,5,5,0.8,0.9,0,0,91,0.07828209593009529
0.1,5,5,0.8,0.9,0,0,49,0.0794632198584445
0.3,5,5,0.8,0.9,0,0,22,0.08159228567498816
0.01,7,5,0.8,0.9,0,0,495,0.07755684689281854
0.05,7,5,0.8,0.9,0,0,106,0.07848594862567147
0.1,7,5,0.8,0.9,0,0,55,0.07892396391021832
0.3,7,5,0.8,0.9,0,0,14,0.08226089227644844
0.01,1,7,0.8,0.9,0,0,748,0.08122749742608443
0.05,1,7,0.8,0.9,0,0,224,0.08075120327115735
0.1,1,7,0.8,0.9,0,0,168,0.08025234746065917
0.3,1,7,0.8,0.9,0,0,47,0.0804195265787255
0.01,3,7,0.8,0.9,0,0,519,0.07760372560262008
0.05,3,7,0.8,0.9,0,0,103,0.07814558213612578
0.1,3,7,0.8,0.9,0,0,64,0.07862491228455724
0.3,3,7,0.8,0.9,0,0,16,0.08020064571646968
0.01,5,7,0.8,0.9,0,0,495,0.07670479597083933
0.05,5,7,0.8,0.9,0,0,111,0.07776973755804688
