feature,importance_value,rank
bias_w,0.0502756261574231,1
longitude,0.032077052342926043,2
latitude,0.007352231779926741,3
P_internet,0.002696453582568351,4
P_extreme_poverty,0.002329664484280517,5
P_indigenous_language,0.0022842652900375506,6
P_read_write,0.001827936642031345,7
P_electricity,0.0012018729600006262,8
P_age_00_14,0.0010272413853997624,9
Total_residents,9.228044957203093e-4,10
P_female,8.249347631030917e-4,11
P_migrants,7.498577979655192e-4,12
P_poverty,7.006650069073556e-4,13
P_working,6.780092811720156e-4,14
P_age_15_39,6.15543707780654e-4,15
Mean_occupants,6.123360566382396e-4,16
P_car,5.955450352207782e-4,17
Current_income,5.459256654614561e-4,18
P_educational_lag,4.8158920655863634e-4,19
P_cell_phone,4.300257134671698e-4,20
P_university_studies,4.225675259861696e-4,21
Total_houses,3.670578483204732e-4,22
P_afrodescendants,3.5094702608063694e-4,23
P_disability,3.4268357249664426e-4,24
P_lack_quality_living_spaces,3.387573220235826e-4,25
P_age_65_more,3.083949196760386e-4,26
Mean_age,2.810755255461545e-4,27
P_vulnerable_income,2.3941332928976956e-4,28
