eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,1920,0.05425775738289317
0.05,1,1,0.65,0.8,0,0,671,0.05038469496271598
0.1,1,1,0.65,0.8,0,0,267,0.05208237897750778
0.3,1,1,0.65,0.8,0,0,152,0.05051989150360419
0.01,3,1,0.65,0.8,0,0,1989,0.031458766838701226
0.05,3,1,0.65,0.8,0,0,628,0.03219440126597329
0.1,3,1,0.65,0.8,0,0,306,0.033191495447064734
0.3,3,1,0.65,0.8,0,0,45,0.03829595115206449
0.01,5,1,0.65,0.8,0,0,1680,0.03063666076495318
0.05,5,1,0.65,0.8,0,0,278,0.03334631841401448
0.1,5,1,0.65,0.8,0,0,96,0.03464240823101226
0.3,5,1,0.65,0.8,0,0,61,0.03886739085686759
0.01,7,1,0.65,0.8,0,0,1479,0.03211156902793002
0.05,7,1,0.65,0.8,0,0,276,0.03450227629714146
0.1,7,1,0.65,0.8,0,0,138,0.03501000968889277
0.3,7,1,0.65,0.8,0,0,34,0.039681674765857475
0.01,1,3,0.65,0.8,0,0,2339,0.052221821767158325
0.05,1,3,0.65,0.8,0,0,527,0.05099062765998467
0.1,1,3,0.65,0.8,0,0,260,0.05112415267596442
0.3,1,3,0.65,0.8,0,0,151,0.04853736379057225
0.01,3,3,0.65,0.8,0,0,2421,0.03010228226196268
0.05,3,3,0.65,0.8,0,0,487,0.0312942686823591
0.1,3,3,0.65,0.8,0,0,322,0.032600621771700165
0.3,3,3,0.65,0.8,0,0,73,0.03627857580874544
0.01,5,3,0.65,0.8,0,0,1168,0.02890642312216802
0.05,5,3,0.65,0.8,0,0,523,0.0305128579098089
0.1,5,3,0.65,0.8,0,0,261,0.03177327732389813
0.3,5,3,0.65,0.8,0,0,26,0.03920718309248833
0.01,7,3,0.65,0.8,0,0,910,0.029855529804337144
0.05,7,3,0.65,0.8,0,0,328,0.03153005198466949
0.1,7,3,0.65,0.8,0,0,176,0.03328286588498596
0.3,7,3,0.65,0.8,0,0,45,0.04196122844748091
0.01,1,5,0.65,0.8,0,0,2254,0.053535250366202033
0.05,1,5,0.65,0.8,0,0,527,0.052761927526090026
0.1,1,5,0.65,0.8,0,0,253,0.05301623764186796
0.3,1,5,0.65,0.8,0,0,83,0.05264560412732714
0.01,3,5,0.65,0.8,0,0,2901,0.029467112593751187
0.05,3,5,0.65,0.8,0,0,688,0.029797468839096692
0.1,3,5,0.65,0.8,0,0,316,0.03162342342080682
0.3,3,5,0.65,0.8,0,0,63,0.03632694305579724
0.01,5,5,0.65,0.8,0,0,888,0.03135644835776367
0.05,5,5,0.65,0.8,0,0,175,0.03273891435426136
0.1,5,5,0.65,0.8,0,0,110,0.03314917683201187
0.3,5,5,0.65,0.8,0,0,22,0.037394694605635374
0.01,7,5,0.65,0.8,0,0,799,0.03247614287440074
0.05,7,5,0.65,0.8,0,0,175,0.033680327160368694
0.1,7,5,0.65,0.8,0,0,58,0.03480198974601871
0.3,7,5,0.65,0.8,0,0,22,0.04198033619668026
0.01,1,7,0.65,0.8,0,0,1411,0.05615596537792866
0.05,1,7,0.65,0.8,0,0,527,0.05166590920709193
0.1,1,7,0.65,0.8,0,0,260,0.05189976281234755
0.3,1,7,0.65,0.8,0,0,158,0.04878098952292925
0.01,3,7,0.65,0.8,0,0,1855,0.03136717583259659
0.05,3,7,0.65,0.8,0,0,333,0.03220236728577844
0.1,3,7,0.65,0.8,0,0,331,0.03208514827783845
0.3,3,7,0.65,0.8,0,0,77,0.03441662219973794
0.01,5,7,0.65,0.8,0,0,732,0.033029252390314894
