feature,importance_value,rank
bias_w,0.020716113556481362,1
P_poverty,0.013271835234778087,2
P_age_00_14,0.011151521683914587,3
P_age_65_more,0.010600717045274606,4
Total_residents,0.010491064921526943,5
P_age_15_39,0.008764821311333078,6
P_read_write,0.00841843307340956,7
P_internet,0.00830225123478153,8
Total_houses,0.008220714791771633,9
P_extreme_poverty,0.0069755523873678395,10
P_lack_quality_living_spaces,0.006636425246197065,11
P_cell_phone,0.006331325434922453,12
longitude,0.006298784920754025,13
P_indigenous_language,0.005906003451428946,14
Current_income,0.00577913114861325,15
P_educational_lag,0.005710636040990159,16
P_female,0.0056023859367280845,17
P_migrants,0.0051225411153352505,18
P_car,0.00446499958914949,19
latitude,0.004352055125501726,20
P_afrodescendants,0.004270407940555389,21
P_electricity,0.004262788547263536,22
P_disability,0.004124028289344295,23
P_university_studies,0.004057431191231457,24
P_vulnerable_income,0.0038645096222571598,25
Mean_age,0.002747044204785994,26
P_working,0.0026888249146901923,27
Mean_occupants,0.0026549969328897405,28
