eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,474,0.08044528355468712
0.05,1,1,0.65,0.8,0,0,115,0.0803834455818415
0.1,1,1,0.65,0.8,0,0,64,0.08075999047386757
0.3,1,1,0.65,0.8,0,0,19,0.08020729265254893
0.01,3,1,0.65,0.8,0,0,441,0.08131089987726686
0.05,3,1,0.65,0.8,0,0,81,0.08267977525485196
0.1,3,1,0.65,0.8,0,0,38,0.08398593493314901
0.3,3,1,0.65,0.8,0,0,11,0.08535429849894983
0.01,5,1,0.65,0.8,0,0,473,0.07991072705934192
0.05,5,1,0.65,0.8,0,0,103,0.08083547792664965
0.1,5,1,0.65,0.8,0,0,45,0.08273523020282511
0.3,5,1,0.65,0.8,0,0,10,0.08765236117108416
0.01,7,1,0.65,0.8,0,0,511,0.0804082423049382
0.05,7,1,0.65,0.8,0,0,132,0.081847482451623
0.1,7,1,0.65,0.8,0,0,47,0.08308662404610528
0.3,7,1,0.65,0.8,0,0,11,0.09007979484492273
0.01,1,3,0.65,0.8,0,0,507,0.07975687819733474
0.05,1,3,0.65,0.8,0,0,133,0.07960010624731478
0.1,1,3,0.65,0.8,0,0,64,0.08000752493265036
0.3,1,3,0.65,0.8,0,0,21,0.07960719720029903
0.01,3,3,0.65,0.8,0,0,442,0.08030635294075643
0.05,3,3,0.65,0.8,0,0,84,0.080464923321044
0.1,3,3,0.65,0.8,0,0,40,0.0811075501749455
0.3,3,3,0.65,0.8,0,0,13,0.08218751068912825
0.01,5,3,0.65,0.8,0,0,455,0.07953590030486937
0.05,5,3,0.65,0.8,0,0,79,0.07976056818543058
0.1,5,3,0.65,0.8,0,0,44,0.08117320211875607
0.3,5,3,0.65,0.8,0,0,14,0.083534221643854
0.01,7,3,0.65,0.8,0,0,427,0.07952353467326657
0.05,7,3,0.65,0.8,0,0,95,0.08036349390140052
0.1,7,3,0.65,0.8,0,0,52,0.08215868553344645
0.3,7,3,0.65,0.8,0,0,11,0.08701665564816236
0.01,1,5,0.65,0.8,0,0,507,0.07967741744624247
0.05,1,5,0.65,0.8,0,0,125,0.07956981719649762
0.1,1,5,0.65,0.8,0,0,64,0.07972985459627639
0.3,1,5,0.65,0.8,0,0,22,0.07953813590793814
0.01,3,5,0.65,0.8,0,0,442,0.07939044501264683
0.05,3,5,0.65,0.8,0,0,84,0.07941593006427343
0.1,3,5,0.65,0.8,0,0,58,0.08009751783023782
0.3,3,5,0.65,0.8,0,0,13,0.0813567152746988
0.01,5,5,0.65,0.8,0,0,427,0.0789552828421158
0.05,5,5,0.65,0.8,0,0,88,0.07948167809714532
0.1,5,5,0.65,0.8,0,0,44,0.07981933114841339
0.3,5,5,0.65,0.8,0,0,14,0.08183196936730844
0.01,7,5,0.65,0.8,0,0,428,0.07899076429025788
0.05,7,5,0.65,0.8,0,0,98,0.07941435191442985
0.1,7,5,0.65,0.8,0,0,48,0.0807467048760555
0.3,7,5,0.65,0.8,0,0,16,0.08352701408766725
0.01,1,7,0.65,0.8,0,0,527,0.07964916587167467
0.05,1,7,0.65,0.8,0,0,125,0.07964078546081149
0.1,1,7,0.65,0.8,0,0,64,0.07968713685157607
0.3,1,7,0.65,0.8,0,0,20,0.07932599246426358
0.01,3,7,0.65,0.8,0,0,442,0.07879566351195376
0.05,3,7,0.65,0.8,0,0,107,0.07899163232612524
0.1,3,7,0.65,0.8,0,0,44,0.07820412899129914
0.3,3,7,0.65,0.8,0,0,13,0.08089809624125992
0.01,5,7,0.65,0.8,0,0,426,0.07839423440916543
0.05,5,7,0.65,0.8,0,0,96,0.07822316480107265
0.1,5,7,0.65,0.8,0,0,44,0.08003706107009693
0.3,5,7,0.65,0.8,0,0,11,0.08299989810669955
0.01,7,7,0.65,0.8,0,0,455,0.07811522635266512
0.05,7,7,0.65,0.8,0,0,97,0.07858132493407743
0.1,7,7,0.65,0.8,0,0,44,0.08010456549154495
0.3,7,7,0.65,0.8,0,0,11,0.08291068520533393
0.01,1,1,0.8,0.8,0,0,559,0.080243003492243
0.05,1,1,0.8,0.8,0,0,115,0.08010496497306305
