eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,911,0.001412330164978317
0.05,1,1,0.65,0.8,0,0,227,0.001407121486422111
0.1,1,1,0.65,0.8,0,0,105,0.001409833003303237
0.3,1,1,0.65,0.8,0,0,37,0.001467359874254149
0.01,3,1,0.65,0.8,0,0,885,0.001329908369216924
0.05,3,1,0.65,0.8,0,0,206,0.001347285094475033
0.1,3,1,0.65,0.8,0,0,138,0.001350701423182335
0.3,3,1,0.65,0.8,0,0,32,0.001415929655838068
0.01,5,1,0.65,0.8,0,0,960,0.001316740315833642
0.05,5,1,0.65,0.8,0,0,236,0.001311852403118452
0.1,5,1,0.65,0.8,0,0,96,0.001369312974535358
0.3,5,1,0.65,0.8,0,0,23,0.001479201114788581
0.01,7,1,0.65,0.8,0,0,1113,0.001325227400916066
0.05,7,1,0.65,0.8,0,0,218,0.001343335700924103
0.1,7,1,0.65,0.8,0,0,112,0.001390288658835411
0.3,7,1,0.65,0.8,0,0,29,0.001499885442315903
0.01,1,3,0.65,0.8,0,0,1095,0.001381268914325633
0.05,1,3,0.65,0.8,0,0,237,0.001388192886187917
0.1,1,3,0.65,0.8,0,0,120,0.001392810087126354
0.3,1,3,0.65,0.8,0,0,28,0.001491819193673756
0.01,3,3,0.65,0.8,0,0,886,0.001326481023837804
0.05,3,3,0.65,0.8,0,0,199,0.001348739863605365
0.1,3,3,0.65,0.8,0,0,89,0.0013599220344912319
0.3,3,3,0.65,0.8,0,0,30,0.001430163899198769
0.01,5,3,0.65,0.8,0,0,898,0.001308677318757759
0.05,5,3,0.65,0.8,0,0,178,0.001330681208834747
0.1,5,3,0.65,0.8,0,0,87,0.001343513211238171
0.3,5,3,0.65,0.8,0,0,23,0.001412879051148265
0.01,7,3,0.65,0.8,0,0,913,0.001302293736369368
0.05,7,3,0.65,0.8,0,0,173,0.00131874552187795
0.1,7,3,0.65,0.8,0,0,87,0.001333656317163692
0.3,7,3,0.65,0.8,0,0,24,0.001458848642006345
0.01,1,5,0.65,0.8,0,0,1035,0.001415589970086512
0.05,1,5,0.65,0.8,0,0,245,0.001413454574166739
0.1,1,5,0.65,0.8,0,0,106,0.00142643537297371
0.3,1,5,0.65,0.8,0,0,73,0.001445156177613254
0.01,3,5,0.65,0.8,0,0,886,0.001348542594375118
0.05,3,5,0.65,0.8,0,0,173,0.001363673214798553
0.1,3,5,0.65,0.8,0,0,93,0.00135586730704191
0.3,3,5,0.65,0.8,0,0,31,0.001474469216954575
0.01,5,5,0.65,0.8,0,0,884,0.001316465633955759
0.05,5,5,0.65,0.8,0,0,171,0.001341882231003271
0.1,5,5,0.65,0.8,0,0,97,0.001356666923406846
0.3,5,5,0.65,0.8,0,0,30,0.001411950068411612
0.01,7,5,0.65,0.8,0,0,898,0.001316223220245805
0.05,7,5,0.65,0.8,0,0,171,0.0013398957255118071
0.1,7,5,0.65,0.8,0,0,97,0.001361585537827256
0.3,7,5,0.65,0.8,0,0,26,0.001445478098948719
0.01,1,7,0.65,0.8,0,0,1035,0.001434709071872373
0.05,1,7,0.65,0.8,0,0,225,0.0014314658539997171
0.1,1,7,0.65,0.8,0,0,138,0.001442154680580143
0.3,1,7,0.65,0.8,0,0,57,0.001489949087165229
0.01,3,7,0.65,0.8,0,0,903,0.0013495131554203759
0.05,3,7,0.65,0.8,0,0,175,0.001352715678544293
0.1,3,7,0.65,0.8,0,0,93,0.001374636213945654
0.3,3,7,0.65,0.8,0,0,33,0.001426687210052159
0.01,5,7,0.65,0.8,0,0,894,0.001322351383649461
0.05,5,7,0.65,0.8,0,0,168,0.001330796620916918
0.1,5,7,0.65,0.8,0,0,89,0.001361193583240647
0.3,5,7,0.65,0.8,0,0,26,0.001383713584434367
0.01,7,7,0.65,0.8,0,0,894,0.001319217382288121
0.05,7,7,0.65,0.8,0,0,200,0.001340948525396418
0.1,7,7,0.65,0.8,0,0,82,0.00135354767564677
0.3,7,7,0.65,0.8,0,0,26,0.001422290544740981
0.01,1,1,0.8,0.8,0,0,1176,0.00139875085917805
0.05,1,1,0.8,0.8,0,0,307,0.001389763002473338
0.1,1,1,0.8,0.8,0,0,124,0.001398458692194423
0.3,1,1,0.8,0.8,0,0,61,0.001445735463660982
0.01,3,1,0.8,0.8,0,0,927,0.0013214059449190951
0.05,3,1,0.8,0.8,0,0,185,0.001349617547833166
0.1,3,1,0.8,0.8,0,0,95,0.001350581256653013
0.3,3,1,0.8,0.8,0,0,33,0.001397869137741492
0.01,5,1,0.8,0.8,0,0,1000,0.001297961086449631
0.05,5,1,0.8,0.8,0,0,218,0.00131972520240733
0.1,5,1,0.8,0.8,0,0,101,0.001355697152603931
0.3,5,1,0.8,0.8,0,0,24,0.00144661692323643
0.01,7,1,0.8,0.8,0,0,1228,0.001326093455407142
0.05,7,1,0.8,0.8,0,0,233,0.001352986691868524
0.1,7,1,0.8,0.8,0,0,109,0.001361555089447112
0.3,7,1,0.8,0.8,0,0,47,0.001482369359827411
0.01,1,3,0.8,0.8,0,0,1268,0.001369850493992743
0.05,1,3,0.8,0.8,0,0,324,0.001358874427591803
0.1,1,3,0.8,0.8,0,0,142,0.001377372341321914
0.3,1,3,0.8,0.8,0,0,72,0.001400739378524042
0.01,3,3,0.8,0.8,0,0,929,0.001319621839565661
0.05,3,3,0.8,0.8,0,0,177,0.001326691782744517
0.1,3,3,0.8,0.8,0,0,92,0.00132874769611043
0.3,3,3,0.8,0.8,0,0,25,0.001422896471853631
0.01,5,3,0.8,0.8,0,0,914,0.001309813461571198
0.05,5,3,0.8,0.8,0,0,193,0.001310792157895782
0.1,5,3,0.8,0.8,0,0,82,0.001348345872722771
0.3,5,3,0.8,0.8,0,0,34,0.00147045054712021
0.01,7,3,0.8,0.8,0,0,931,0.001307784870250027
0.05,7,3,0.8,0.8,0,0,176,0.0013302185694270359
0.1,7,3,0.8,0.8,0,0,90,0.001336666383124194
0.3,7,3,0.8,0.8,0,0,26,0.00145130891837362
0.01,1,5,0.8,0.8,0,0,1098,0.001402323233024613
0.05,1,5,0.8,0.8,0,0,287,0.001387064727699914
0.1,1,5,0.8,0.8,0,0,181,0.001409631683059179
0.3,1,5,0.8,0.8,0,0,75,0.00142940237980336
0.01,3,5,0.8,0.8,0,0,922,0.001338647110084135
0.05,3,5,0.8,0.8,0,0,199,0.001340527662121693
