eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,1003,0.001370198651460347
0.05,1,1,0.65,0.8,0,0,225,0.001371424872100123
0.1,1,1,0.65,0.8,0,0,106,0.001379055641330884
0.3,1,1,0.65,0.8,0,0,47,0.001459438142309403
0.01,3,1,0.65,0.8,0,0,898,0.001302016424048359
0.05,3,1,0.65,0.8,0,0,171,0.0013289251676384581
0.1,3,1,0.65,0.8,0,0,95,0.00135287414392098
0.3,3,1,0.65,0.8,0,0,28,0.001457373050295714
0.01,5,1,0.65,0.8,0,0,960,0.001294648933419907
0.05,5,1,0.65,0.8,0,0,191,0.001306473868116798
0.1,5,1,0.65,0.8,0,0,92,0.001365202725067387
0.3,5,1,0.65,0.8,0,0,34,0.001443628328178014
0.01,7,1,0.65,0.8,0,0,1027,0.0013127216964165481
0.05,7,1,0.65,0.8,0,0,206,0.001338060628119032
0.1,7,1,0.65,0.8,0,0,158,0.001365224733813138
0.3,7,1,0.65,0.8,0,0,51,0.0015030348245383181
0.01,1,3,0.65,0.8,0,0,1030,0.00134786293456775
0.05,1,3,0.65,0.8,0,0,171,0.001365152894372953
0.1,1,3,0.65,0.8,0,0,102,0.00134846067450297
0.3,1,3,0.65,0.8,0,0,29,0.001462610884353485
0.01,3,3,0.65,0.8,0,0,903,0.001296190512995579
0.05,3,3,0.65,0.8,0,0,178,0.001331838703492889
0.1,3,3,0.65,0.8,0,0,101,0.001311430149563062
0.3,3,3,0.65,0.8,0,0,26,0.001401607098493411
0.01,5,3,0.65,0.8,0,0,921,0.0012851403653721771
0.05,5,3,0.65,0.8,0,0,173,0.001300349777377368
0.1,5,3,0.65,0.8,0,0,87,0.001306412766982676
0.3,5,3,0.65,0.8,0,0,25,0.001364497065533902
0.01,7,3,0.65,0.8,0,0,936,0.00127962955813744
0.05,7,3,0.65,0.8,0,0,173,0.001300655540086934
0.1,7,3,0.65,0.8,0,0,87,0.001315176767635635
0.3,7,3,0.65,0.8,0,0,24,0.001403483035910645
0.01,1,5,0.65,0.8,0,0,1026,0.0013743602170414831
0.05,1,5,0.65,0.8,0,0,232,0.0013745735569574641
0.1,1,5,0.65,0.8,0,0,104,0.00137765994070647
0.3,1,5,0.65,0.8,0,0,43,0.001448581993562664
0.01,3,5,0.65,0.8,0,0,879,0.001319297222629778
0.05,3,5,0.65,0.8,0,0,170,0.001352287941576253
0.1,3,5,0.65,0.8,0,0,93,0.001334612159116147
0.3,3,5,0.65,0.8,0,0,25,0.001399506298888202
0.01,5,5,0.65,0.8,0,0,886,0.00129879957889704
0.05,5,5,0.65,0.8,0,0,171,0.001311922716592381
0.1,5,5,0.65,0.8,0,0,86,0.001318523511700397
0.3,5,5,0.65,0.8,0,0,30,0.001414911795398376
0.01,7,5,0.65,0.8,0,0,898,0.001299855195073003
0.05,7,5,0.65,0.8,0,0,171,0.001309884148673015
0.1,7,5,0.65,0.8,0,0,89,0.001328335616284245
0.3,7,5,0.65,0.8,0,0,26,0.001439169417468853
0.01,1,7,0.65,0.8,0,0,914,0.001391676395274095
0.05,1,7,0.65,0.8,0,0,225,0.001387968135521832
0.1,1,7,0.65,0.8,0,0,105,0.001392785171353385
0.3,1,7,0.65,0.8,0,0,63,0.001459066712832923
