feature,importance_value,rank
P_internet,0.0010846643269626947,1
bias_w,4.057265430260739e-4,2
Current_income,2.781960984068556e-4,3
P_cell_phone,2.6170914822275763e-4,4
P_university_studies,2.524862609460476e-4,5
longitude,2.4359862301060308e-4,6
P_extreme_poverty,1.5226013366530475e-4,7
Total_houses,1.0662833960152385e-4,8
P_migrants,1.0212400983224953e-4,9
P_female,9.035349924140152e-5,10
P_car,8.932144792776173e-5,11
P_electricity,8.23812899362995e-5,12
Mean_occupants,7.932241333249967e-5,13
P_age_15_39,7.621117167796677e-5,14
P_age_00_14,7.540768939928476e-5,15
P_afrodescendants,7.261519450712125e-5,16
P_working,6.157704964914566e-5,17
latitude,5.7369033195283123e-5,18
P_read_write,5.2932387234365735e-5,19
P_disability,4.7359986855484034e-5,20
Total_residents,4.698294945574467e-5,21
P_educational_lag,4.5381530136093984e-5,22
P_lack_quality_living_spaces,4.265320425608623e-5,23
P_vulnerable_income,4.167866986467775e-5,24
P_indigenous_language,3.2735501926436683e-5,25
P_age_65_more,2.7992386207940942e-5,26
P_poverty,2.474027015869506e-5,27
Mean_age,1.8306673038822056e-5,28
