feature,importance_value,rank
P_internet,0.0013773041015153488,1
P_cell_phone,2.770183124442818e-4,2
Current_income,2.704774521985312e-4,3
longitude,2.068374487246983e-4,4
P_electricity,1.2438927444674713e-4,5
P_university_studies,1.1548341252545557e-4,6
Total_houses,1.1458029193277143e-4,7
P_migrants,1.1039918181675783e-4,8
latitude,1.0782663967233864e-4,9
P_car,1.00432636319091e-4,10
P_extreme_poverty,9.776751750814086e-5,11
P_poverty,8.084085149525133e-5,12
Mean_occupants,6.543791066448913e-5,13
P_age_00_14,5.4972782846233525e-5,14
P_educational_lag,5.349166949074228e-5,15
P_read_write,5.2151699017061576e-5,16
P_afrodescendants,4.748620862001492e-5,17
P_lack_quality_living_spaces,4.465605759090281e-5,18
P_working,4.446407969184561e-5,19
P_disability,4.3450487732994894e-5,20
Total_residents,4.31041192179706e-5,21
P_female,4.213516563079227e-5,22
bias_w,3.645352430130695e-5,23
P_age_15_39,3.5078033293449336e-5,24
P_vulnerable_income,3.2452123235887634e-5,25
P_indigenous_language,2.552517336492183e-5,26
Mean_age,2.2129357661954166e-5,27
P_age_65_more,1.2330604601738981e-5,28
