feature,importance_value,rank
P_internet,0.0014250755638860768,1
Current_income,2.666389973840066e-4,2
P_cell_phone,2.423890225970893e-4,3
longitude,2.0842686840031924e-4,4
P_university_studies,1.1703544943721361e-4,5
P_migrants,1.144922060072094e-4,6
P_extreme_poverty,1.108865456982238e-4,7
P_electricity,1.1077689166348418e-4,8
latitude,1.1051640232622568e-4,9
Total_houses,1.0744558112606673e-4,10
P_car,9.554537491272e-5,11
P_poverty,7.857303908668617e-5,12
Mean_occupants,6.886563097513112e-5,13
P_read_write,5.98487453537329e-5,14
P_educational_lag,5.76933784147444e-5,15
P_age_00_14,5.105928966266973e-5,16
Total_residents,5.031783733709926e-5,17
P_afrodescendants,4.543316598584973e-5,18
P_female,4.389575595194179e-5,19
P_disability,4.261455671742766e-5,20
P_working,4.098799474047151e-5,21
P_lack_quality_living_spaces,4.0635725487342855e-5,22
P_age_15_39,3.6517888192212584e-5,23
P_vulnerable_income,2.9583192400444346e-5,24
P_indigenous_language,2.601382366203854e-5,25
Mean_age,1.8151261188596622e-5,26
P_age_65_more,1.4331214131321036e-5,27
