eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,1198,0.00188285719449366
0.05,1,1,0.65,0.8,0,0,248,0.0018903366858109129
0.1,1,1,0.65,0.8,0,0,142,0.001867697444773591
0.3,1,1,0.65,0.8,0,0,49,0.001944467525503782
0.01,3,1,0.65,0.8,0,0,957,0.001804403652761703
0.05,3,1,0.65,0.8,0,0,193,0.001817986491592163
0.1,3,1,0.65,0.8,0,0,88,0.001847475681133512
0.3,3,1,0.65,0.8,0,0,26,0.001994851598328122
0.01,5,1,0.65,0.8,0,0,943,0.001797796852513405
0.05,5,1,0.65,0.8,0,0,193,0.001814331697922403
0.1,5,1,0.65,0.8,0,0,102,0.0018928010771480151
0.3,5,1,0.65,0.8,0,0,25,0.001994621692667976
0.01,7,1,0.65,0.8,0,0,1036,0.001817601629950149
0.05,7,1,0.65,0.8,0,0,235,0.001857115401352085
0.1,7,1,0.65,0.8,0,0,102,0.0019239561049098819
0.3,7,1,0.65,0.8,0,0,34,0.002024863212464775
0.01,1,3,0.65,0.8,0,0,1135,0.001887339092928618
0.05,1,3,0.65,0.8,0,0,249,0.001886260820469623
0.1,1,3,0.65,0.8,0,0,134,0.001880633777552829
0.3,1,3,0.65,0.8,0,0,62,0.001921115653248387
0.01,3,3,0.65,0.8,0,0,872,0.001809563694836378
0.05,3,3,0.65,0.8,0,0,195,0.0018101937048890229
0.1,3,3,0.65,0.8,0,0,97,0.0018401069151456739
0.3,3,3,0.65,0.8,0,0,26,0.001905395727631488
0.01,5,3,0.65,0.8,0,0,875,0.001806976459542068
0.05,5,3,0.65,0.8,0,0,175,0.001807408742974144
0.1,5,3,0.65,0.8,0,0,84,0.001830425437662126
0.3,5,3,0.65,0.8,0,0,23,0.001941653715766608
0.01,7,3,0.65,0.8,0,0,877,0.001818866459809638
0.05,7,3,0.65,0.8,0,0,184,0.001837730652884357
0.1,7,3,0.65,0.8,0,0,87,0.001865645508772007
0.3,7,3,0.65,0.8,0,0,28,0.001977448557411349
0.01,1,5,0.65,0.8,0,0,1075,0.001903215400437969
0.05,1,5,0.65,0.8,0,0,246,0.001907958694550342
0.1,1,5,0.65,0.8,0,0,142,0.0019026876026774849
0.3,1,5,0.65,0.8,0,0,44,0.001940185794892657
0.01,3,5,0.65,0.8,0,0,872,0.001813244064620021
0.05,3,5,0.65,0.8,0,0,195,0.001819823277141441
0.1,3,5,0.65,0.8,0,0,88,0.001858348202047279
0.3,3,5,0.65,0.8,0,0,29,0.001881133937980139
0.01,5,5,0.65,0.8,0,0,873,0.001822446758801085
0.05,5,5,0.65,0.8,0,0,181,0.001824458560626172
0.1,5,5,0.65,0.8,0,0,87,0.001843090655892333
0.3,5,5,0.65,0.8,0,0,26,0.001917515201429891
0.01,7,5,0.65,0.8,0,0,879,0.001820106700928667
0.05,7,5,0.65,0.8,0,0,179,0.0018360573963588191
0.1,7,5,0.65,0.8,0,0,93,0.001873598629285379
