"Area_code","CVE_ENT","CVE_MUN","NOMGEO","Area_name","Total_Population","Total_active_population","bias","Map_bias","jenks_bins","bias_w"
1001,"01","001","Aguascalientes"," Aguascalientes",948990,9086,0.990425610385779,99.0425610385779,"(98.7,99.1]",0.993565429559409
1002,"01","002","Asientos"," Asientos",51536,301,0.994159422539584,99.4159422539584,"(99.4,99.6]",0.995415011976698
1003,"01","003","Calvillo"," Calvillo",58250,378,0.993510729613734,99.3510729613734,"(99.1,99.4]",0.993096516025217
1004,"01","004","Cosío"," Cosío",17000,74,0.995647058823529,99.5647058823529,"(99.4,99.6]",0.996168293218606
1005,"01","005","Jesús María"," Jesús María",129929,990,0.992380453940229,99.2380453940229,"(99.1,99.4]",0.993667344073617
1006,"01","006","Pabellón de Arteaga"," Pabellón de Arteaga",47646,265,0.994438148008227,99.4438148008227,"(99.4,99.6]",0.994404777935937
1007,"01","007","Rincón de Romos"," Rincón de Romos",57369,264,0.995398211577681,99.5398211577681,"(99.4,99.6]",0.994861699907696
1008,"01","008","San José de Gracia"," San José de Gracia",9552,31,0.996754606365159,99.6754606365159,"(99.6,99.8]",0.994089891086486
1009,"01","009","Tepezalá"," Tepezalá",22485,133,0.994084945519235,99.4084945519235,"(99.4,99.6]",0.995181018115504
1010,"01","010","El Llano"," El Llano",20853,73,0.996499304656404,99.6499304656404,"(99.6,99.8]",0.994707779563237
1011,"01","011","San Francisco de los Romo"," San Francisco de los Romo",61997,373,0.993983579850638,99.3983579850638,"(99.4,99.6]",0.994282323965287
2001,"02","001","Ensenada"," Ensenada",443807,6079,0.986302604510519,98.6302604510519,"(98.1,98.7]",0.985486357540013
2002,"02","002","Mexicali"," Mexicali",1049792,17535,0.983296691154057,98.3296691154057,"(98.1,98.7]",0.98716315871055
2003,"02","003","Tecate"," Tecate",108440,1598,0.985263740317226,98.5263740317226,"(98.1,98.7]",0.9842561264281
2004,"02","004","Tijuana"," Tijuana",1922523,33957,0.98233727242795,98.233727242795,"(98.1,98.7]",0.986323709336026
2005,"02","005","Playas de Rosarito"," Playas de Rosarito",126890,1656,0.986949326188037,98.6949326188037,"(98.1,98.7]",0.982977680358298
3001,"03","001","Comondú"," Comondú",73021,349,0.995220552991605,99.5220552991605,"(99.4,99.6]",0.992204399004132
3002,"03","002","Mulegé"," Mulegé",64022,365,0.994298834775546,99.4298834775546,"(99.4,99.6]",0.992591820845071
3003,"03","003","La Paz"," La Paz",292241,2873,0.990169072785817,99.0169072785817,"(98.7,99.1]",0.990653097361749
3008,"03","008","Los Cabos"," Los Cabos",351111,4869,0.986132590548288,98.6132590548288,"(98.1,98.7]",0.993170358681521
3009,"03","009","Loreto"," Loreto",18052,138,0.992355417682251,99.2355417682251,"(99.1,99.4]",0.994975407353677
4001,"04","001","Calkiní"," Calkiní",59232,233,0.996066315505132,99.6066315505132,"(99.4,99.6]",0.997666258153832
4002,"04","002","Campeche"," Campeche",294077,2417,0.991781064143065,99.1781064143065,"(99.1,99.4]",0.997021323571098
4003,"04","003","Carmen"," Carmen",248845,1993,0.991990998412666,99.1990998412666,"(99.1,99.4]",0.997991018128784
4004,"04","004","Champotón"," Champotón",78170,309,0.996047076883715,99.6047076883715,"(99.4,99.6]",0.994933101256351
