eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,1430,0.005268265226863363
0.05,1,1,0.65,0.8,0,0,427,0.005080639868191928
0.1,1,1,0.65,0.8,0,0,225,0.005066363072262371
0.3,1,1,0.65,0.8,0,0,78,0.005202041793174708
0.01,3,1,0.65,0.8,0,0,1428,0.00306031019493839
0.05,3,1,0.65,0.8,0,0,635,0.0029460916890784302
0.1,3,1,0.65,0.8,0,0,236,0.003196012144361758
0.3,3,1,0.65,0.8,0,0,73,0.003300438708152122
0.01,5,1,0.65,0.8,0,0,1241,0.003121822777776703
0.05,5,1,0.65,0.8,0,0,256,0.003126566060027192
0.1,5,1,0.65,0.8,0,0,166,0.003078044445339289
0.3,5,1,0.65,0.8,0,0,37,0.003760769807740369
0.01,7,1,0.65,0.8,0,0,1020,0.003289675038548916
0.05,7,1,0.65,0.8,0,0,304,0.00338316518009908
0.1,7,1,0.65,0.8,0,0,159,0.003561732734072447
0.3,7,1,0.65,0.8,0,0,27,0.003841630781164598
0.01,1,3,0.65,0.8,0,0,1052,0.0057625453181475725
0.05,1,3,0.65,0.8,0,0,251,0.005652904537404291
0.1,1,3,0.65,0.8,0,0,173,0.00547314955573233
0.3,1,3,0.65,0.8,0,0,41,0.005777452674054067
0.01,3,3,0.65,0.8,0,0,2320,0.003030670249149222
0.05,3,3,0.65,0.8,0,0,423,0.003081827359808591
0.1,3,3,0.65,0.8,0,0,234,0.003210698084058144
0.3,3,3,0.65,0.8,0,0,63,0.003530605577228405
0.01,5,3,0.65,0.8,0,0,1076,0.00304375702744621
0.05,5,3,0.65,0.8,0,0,306,0.003050320331534462
0.1,5,3,0.65,0.8,0,0,103,0.0032432167664864127
0.3,5,3,0.65,0.8,0,0,47,0.003438266671598688
0.01,7,3,0.65,0.8,0,0,945,0.003085577216346857
0.05,7,3,0.65,0.8,0,0,172,0.003135684679640966
0.1,7,3,0.65,0.8,0,0,103,0.00320401067918077
0.3,7,3,0.65,0.8,0,0,23,0.003855709800760476
0.01,1,5,0.65,0.8,0,0,1052,0.005592373460964688
0.05,1,5,0.65,0.8,0,0,269,0.005433398951085413
0.1,1,5,0.65,0.8,0,0,154,0.005323495671322809
0.3,1,5,0.65,0.8,0,0,55,0.00547987222494969
0.01,3,5,0.65,0.8,0,0,1618,0.003195041975921161
0.05,3,5,0.65,0.8,0,0,469,0.003084976993169587
0.1,3,5,0.65,0.8,0,0,102,0.003507650760868116
0.3,3,5,0.65,0.8,0,0,132,0.0034295107545681183
0.01,5,5,0.65,0.8,0,0,945,0.0031459776462561782
0.05,5,5,0.65,0.8,0,0,166,0.003230309367021691
0.1,5,5,0.65,0.8,0,0,102,0.003189729276175775
0.3,5,5,0.65,0.8,0,0,77,0.003531675963476135
0.01,7,5,0.65,0.8,0,0,900,0.003137903294366849
0.05,7,5,0.65,0.8,0,0,166,0.003243113999714114
0.1,7,5,0.65,0.8,0,0,102,0.003289807948045105
0.3,7,5,0.65,0.8,0,0,59,0.003516779670298477
0.01,1,7,0.65,0.8,0,0,1421,0.005345891009084758
0.05,1,7,0.65,0.8,0,0,301,0.0053178064731099995
0.1,1,7,0.65,0.8,0,0,207,0.005187320859873586
0.3,1,7,0.65,0.8,0,0,76,0.005337775848483275
0.01,3,7,0.65,0.8,0,0,1145,0.003375112277611932
0.05,3,7,0.65,0.8,0,0,209,0.003434822713468842
0.1,3,7,0.65,0.8,0,0,105,0.003614021195924579
0.3,3,7,0.65,0.8,0,0,102,0.003472320591667528
0.01,5,7,0.65,0.8,0,0,728,0.003251270466540517
0.05,5,7,0.65,0.8,0,0,209,0.003266708377487293
0.1,5,7,0.65,0.8,0,0,101,0.003398707124690131
0.3,5,7,0.65,0.8,0,0,37,0.003346403052865013
0.01,7,7,0.65,0.8,0,0,728,0.003229412176683234
0.05,7,7,0.65,0.8,0,0,170,0.003329424642014655
0.1,7,7,0.65,0.8,0,0,102,0.003379531044134828
0.3,7,7,0.65,0.8,0,0,27,0.0035151239450840117
0.01,1,1,0.8,0.8,0,0,1732,0.0050662204763721064
0.05,1,1,0.8,0.8,0,0,439,0.004996162094175814
0.1,1,1,0.8,0.8,0,0,193,0.004941878579013846
0.3,1,1,0.8,0.8,0,0,125,0.0047959275528175836
0.01,3,1,0.8,0.8,0,0,2160,0.002883977803128092
0.05,3,1,0.8,0.8,0,0,642,0.002810068883745527
0.1,3,1,0.8,0.8,0,0,167,0.002910657885661735
0.3,3,1,0.8,0.8,0,0,104,0.003230474791928045
0.01,5,1,0.8,0.8,0,0,1226,0.003010130718650904
0.05,5,1,0.8,0.8,0,0,237,0.003003603352466001
0.1,5,1,0.8,0.8,0,0,117,0.003027344887828845
0.3,5,1,0.8,0.8,0,0,45,0.0036062284128815
0.01,7,1,0.8,0.8,0,0,1051,0.003365025452791288
0.05,7,1,0.8,0.8,0,0,231,0.003371021146965178
0.1,7,1,0.8,0.8,0,0,128,0.003493553184185135
0.3,7,1,0.8,0.8,0,0,43,0.0039474712674815865
0.01,1,3,0.8,0.8,0,0,1244,0.005610919296682616
0.05,1,3,0.8,0.8,0,0,331,0.005435834807821621
0.1,1,3,0.8,0.8,0,0,150,0.0054382900734511385
0.3,1,3,0.8,0.8,0,0,96,0.005356569702114614
0.01,3,3,0.8,0.8,0,0,1616,0.003041157228760878
0.05,3,3,0.8,0.8,0,0,596,0.002991585743599185
0.1,3,3,0.8,0.8,0,0,311,0.003060930764138382
0.3,3,3,0.8,0.8,0,0,88,0.003405082603239106
0.01,5,3,0.8,0.8,0,0,1064,0.003074561195399138
0.05,5,3,0.8,0.8,0,0,220,0.0031216258798161768
0.1,5,3,0.8,0.8,0,0,236,0.003106207877197648
0.3,5,3,0.8,0.8,0,0,93,0.003480415805834974
0.01,7,3,0.8,0.8,0,0,876,0.003095760776740026
0.05,7,3,0.8,0.8,0,0,175,0.003174979317943244
0.1,7,3,0.8,0.8,0,0,102,0.003327563453385422
0.3,7,3,0.8,0.8,0,0,95,0.003548672026199963
0.01,1,5,0.8,0.8,0,0,1421,0.0053273537803211314
0.05,1,5,0.8,0.8,0,0,332,0.005292044322596197
0.1,1,5,0.8,0.8,0,0,160,0.005278833104747558
0.3,1,5,0.8,0.8,0,0,71,0.005314723674362357
0.01,3,5,0.8,0.8,0,0,2353,0.00305486484922432
0.05,3,5,0.8,0.8,0,0,288,0.003232239958261125
0.1,3,5,0.8,0.8,0,0,231,0.003104094921146768
0.3,3,5,0.8,0.8,0,0,141,0.003437564667495386
0.01,5,5,0.8,0.8,0,0,1117,0.003111377793914947
0.05,5,5,0.8,0.8,0,0,306,0.003077130390717329
0.1,5,5,0.8,0.8,0,0,137,0.003215825125534147
0.3,5,5,0.8,0.8,0,0,27,0.0036118578434408202
0.01,7,5,0.8,0.8,0,0,873,0.003161199543020279
0.05,7,5,0.8,0.8,0,0,196,0.003254274383773362
0.1,7,5,0.8,0.8,0,0,102,0.003444659775490506
0.3,7,5,0.8,0.8,0,0,44,0.003441406551725296
0.01,1,7,0.8,0.8,0,0,1421,0.005262566528678978
0.05,1,7,0.8,0.8,0,0,308,0.005232722420702616
0.1,1,7,0.8,0.8,0,0,209,0.005116988511316419
0.3,1,7,0.8,0.8,0,0,72,0.005268646219532952
0.01,3,7,0.8,0.8,0,0,992,0.003354489185833789
0.05,3,7,0.8,0.8,0,0,423,0.003194262138995676
0.1,3,7,0.8,0.8,0,0,470,0.00297786540611221
0.3,3,7,0.8,0.8,0,0,167,0.003276375685220483
0.01,5,7,0.8,0.8,0,0,766,0.003212991006496639
0.05,5,7,0.8,0.8,0,0,196,0.0032338371955733
0.1,5,7,0.8,0.8,0,0,196,0.003104302744791977
0.3,5,7,0.8,0.8,0,0,57,0.00368137350201899
0.01,7,7,0.8,0.8,0,0,937,0.003133857849565075
0.05,7,7,0.8,0.8,0,0,172,0.0032067205140683132
0.1,7,7,0.8,0.8,0,0,100,0.0033139274662380078
0.3,7,7,0.8,0.8,0,0,24,0.0036396665253804503
0.01,1,1,1,0.8,0,0,3590,0.004629052615398597
0.05,1,1,1,0.8,0,0,761,0.004619804642839854
0.1,1,1,1,0.8,0,0,517,0.004592101363881449
0.3,1,1,1,0.8,0,0,172,0.004677829908324648
0.01,3,1,1,0.8,0,0,1600,0.002909396920276424
0.05,3,1,1,0.8,0,0,409,0.002890897421516475
0.1,3,1,1,0.8,0,0,220,0.002980116236731003
0.3,3,1,1,0.8,0,0,114,0.003303615152807385
0.01,5,1,1,0.8,0,0,1183,0.003008059618530921
0.05,5,1,1,0.8,0,0,264,0.003017298221868059
0.1,5,1,1,0.8,0,0,135,0.002963555978491899
0.3,5,1,1,0.8,0,0,39,0.0033493156863456212
0.01,7,1,1,0.8,0,0,1183,0.003428007649974872
0.05,7,1,1,0.8,0,0,264,0.003428939639624666
0.1,7,1,1,0.8,0,0,135,0.003446883957703727
0.3,7,1,1,0.8,0,0,44,0.003833543842917797
0.01,1,3,1,0.8,0,0,2998,0.004998344906527964
0.05,1,3,1,0.8,0,0,606,0.005013751669202519
0.1,1,3,1,0.8,0,0,317,0.005040580988513735
0.3,1,3,1,0.8,0,0,140,0.005081581968706782
0.01,3,3,1,0.8,0,0,2152,0.002919994174145061
0.05,3,3,1,0.8,0,0,510,0.002972777300086734
0.1,3,3,1,0.8,0,0,259,0.0029505036036045168
0.3,3,3,1,0.8,0,0,127,0.003489688621632846
0.01,5,3,1,0.8,0,0,1394,0.002987730516293928
0.05,5,3,1,0.8,0,0,363,0.002980899762484142
0.1,5,3,1,0.8,0,0,172,0.002965715758435626
0.3,5,3,1,0.8,0,0,53,0.003548038519430919
0.01,7,3,1,0.8,0,0,873,0.003152260788431505
0.05,7,3,1,0.8,0,0,190,0.003175867326450163
0.1,7,3,1,0.8,0,0,91,0.0032276338127650212
0.3,7,3,1,0.8,0,0,29,0.003573595304546392
0.01,1,5,1,0.8,0,0,3157,0.004892703476622455
0.05,1,5,1,0.8,0,0,597,0.004929188524591138
0.1,1,5,1,0.8,0,0,329,0.004930368573217326
0.3,1,5,1,0.8,0,0,125,0.004984402338272371
0.01,3,5,1,0.8,0,0,2236,0.002936454001374991
0.05,3,5,1,0.8,0,0,569,0.002923680533978889
0.1,3,5,1,0.8,0,0,291,0.0030273018829988
0.3,3,5,1,0.8,0,0,129,0.003518713968564958
0.01,5,5,1,0.8,0,0,2523,0.0030273124096072508
0.05,5,5,1,0.8,0,0,536,0.003039918661422737
0.1,5,5,1,0.8,0,0,235,0.00312146871641616
0.3,5,5,1,0.8,0,0,82,0.003362053709181665
0.01,7,5,1,0.8,0,0,1296,0.003201693661807459
0.05,7,5,1,0.8,0,0,297,0.003232536367855552
0.1,7,5,1,0.8,0,0,115,0.003372979966479555
0.3,7,5,1,0.8,0,0,34,0.003672980679309357
0.01,1,7,1,0.8,0,0,2536,0.00490722198457773
0.05,1,7,1,0.8,0,0,527,0.004925978486466437
0.1,1,7,1,0.8,0,0,241,0.0049708473885172084
0.3,1,7,1,0.8,0,0,90,0.005029870588295462
0.01,3,7,1,0.8,0,0,3505,0.002907178493293307
0.05,3,7,1,0.8,0,0,663,0.002994604697663167
0.1,3,7,1,0.8,0,0,375,0.0030042499505617782
0.3,3,7,1,0.8,0,0,120,0.00350379627376583
0.01,5,7,1,0.8,0,0,1625,0.003078115507520589
0.05,5,7,1,0.8,0,0,482,0.003054512739352351
