eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,772,0.00855430578500795
0.05,1,1,0.65,0.8,0,0,172,0.00856967219390203
0.1,1,1,0.65,0.8,0,0,85,0.008595324823934682
0.3,1,1,0.65,0.8,0,0,34,0.008676497236932932
0.01,3,1,0.65,0.8,0,0,676,0.008619671721574554
0.05,3,1,0.65,0.8,0,0,135,0.0085870784270308375
0.1,3,1,0.65,0.8,0,0,65,0.008725775707821268
0.3,3,1,0.65,0.8,0,0,19,0.009061570066505648
0.01,5,1,0.65,0.8,0,0,728,0.008604712110748623
0.05,5,1,0.65,0.8,0,0,162,0.008760974264857222
0.1,5,1,0.65,0.8,0,0,65,0.008824622089989721
0.3,5,1,0.65,0.8,0,0,20,0.009297458238517887
0.01,7,1,0.65,0.8,0,0,775,0.008657775278813763
0.05,7,1,0.65,0.8,0,0,150,0.008837614607081299
0.1,7,1,0.65,0.8,0,0,86,0.008933080050496565
0.3,7,1,0.65,0.8,0,0,21,0.009361099339931636
0.01,1,3,0.65,0.8,0,0,651,0.008779070092187731
0.05,1,3,0.65,0.8,0,0,143,0.008750350786201427
0.1,1,3,0.65,0.8,0,0,81,0.008753602302596718
0.3,1,3,0.65,0.8,0,0,23,0.008822589933094592
0.01,3,3,0.65,0.8,0,0,656,0.008738808412179297
0.05,3,3,0.65,0.8,0,0,135,0.008810580631715336
0.1,3,3,0.65,0.8,0,0,68,0.008805106689025049
0.3,3,3,0.65,0.8,0,0,18,0.009047878289316087
0.01,5,3,0.65,0.8,0,0,635,0.008836618967314767
0.05,5,3,0.65,0.8,0,0,143,0.00896828048652824
0.1,5,3,0.65,0.8,0,0,71,0.009067088750522156
0.3,5,3,0.65,0.8,0,0,17,0.009442997407460423
0.01,7,3,0.65,0.8,0,0,685,0.008879877801079197
0.05,7,3,0.65,0.8,0,0,143,0.008906248949657337
0.1,7,3,0.65,0.8,0,0,81,0.0090120895274110515
0.3,7,3,0.65,0.8,0,0,17,0.009655633046298238
0.01,1,5,0.65,0.8,0,0,754,0.008682264449993001
0.05,1,5,0.65,0.8,0,0,143,0.008665415533956757
0.1,1,5,0.65,0.8,0,0,81,0.008685000297458787
0.3,1,5,0.65,0.8,0,0,23,0.008794981018417957
0.01,3,5,0.65,0.8,0,0,678,0.008645349066475834
0.05,3,5,0.65,0.8,0,0,133,0.008660034883460649
0.1,3,5,0.65,0.8,0,0,73,0.00878738432601333
0.3,3,5,0.65,0.8,0,0,20,0.008951538438763427
0.01,5,5,0.65,0.8,0,0,662,0.008689874515147984
0.05,5,5,0.65,0.8,0,0,132,0.008757043177222621
0.1,5,5,0.65,0.8,0,0,71,0.008933353536905669
0.3,5,5,0.65,0.8,0,0,17,0.009179956516166288
0.01,7,5,0.65,0.8,0,0,735,0.008734760354280904
0.05,7,5,0.65,0.8,0,0,132,0.008806778670933883
0.1,7,5,0.65,0.8,0,0,70,0.00891805097196976
0.3,7,5,0.65,0.8,0,0,20,0.009445859624063522
0.01,1,7,0.65,0.8,0,0,714,0.0086528055445515
0.05,1,7,0.65,0.8,0,0,146,0.008638817049387753
0.1,1,7,0.65,0.8,0,0,71,0.008655962411664277
0.3,1,7,0.65,0.8,0,0,23,0.008760291963196429
0.01,3,7,0.65,0.8,0,0,688,0.008602281286390201
0.05,3,7,0.65,0.8,0,0,132,0.008660718542470143
0.1,3,7,0.65,0.8,0,0,71,0.008636365366543861
0.3,3,7,0.65,0.8,0,0,19,0.008768604682501619
0.01,5,7,0.65,0.8,0,0,721,0.00862848803714646
0.05,5,7,0.65,0.8,0,0,132,0.008746368076631823
0.1,5,7,0.65,0.8,0,0,70,0.008691154951001128
0.3,5,7,0.65,0.8,0,0,19,0.00901851170821713
0.01,7,7,0.65,0.8,0,0,706,0.008637366797104556
0.05,7,7,0.65,0.8,0,0,132,0.008732150277055106
0.1,7,7,0.65,0.8,0,0,71,0.0089243568615236
0.3,7,7,0.65,0.8,0,0,22,0.009165700541644506
0.01,1,1,0.8,0.8,0,0,959,0.008507795981331908
0.05,1,1,0.8,0.8,0,0,238,0.008485852986199197
0.1,1,1,0.8,0.8,0,0,107,0.008507953178277319
0.3,1,1,0.8,0.8,0,0,43,0.00863877609954587
0.01,3,1,0.8,0.8,0,0,674,0.008579250010974752
0.05,3,1,0.8,0.8,0,0,137,0.008570126122278088
0.1,3,1,0.8,0.8,0,0,66,0.008750454312905515
0.3,3,1,0.8,0.8,0,0,18,0.008826796613439802
0.01,5,1,0.8,0.8,0,0,769,0.008569998166155559
0.05,5,1,0.8,0.8,0,0,151,0.008597304101224685
0.1,5,1,0.8,0.8,0,0,67,0.008640240564775761
0.3,5,1,0.8,0.8,0,0,20,0.0091213759986267
0.01,7,1,0.8,0.8,0,0,772,0.008615110245065354
0.05,7,1,0.8,0.8,0,0,149,0.008601570709312289
0.1,7,1,0.8,0.8,0,0,77,0.00883725174928231
0.3,7,1,0.8,0.8,0,0,18,0.009237672725607124
0.01,1,3,0.8,0.8,0,0,651,0.008780991180371225
0.05,1,3,0.8,0.8,0,0,140,0.008758634095298595
0.1,1,3,0.8,0.8,0,0,70,0.008743174489530109
0.3,1,3,0.8,0.8,0,0,23,0.008790216745139572
0.01,3,3,0.8,0.8,0,0,700,0.0087635198460942
0.05,3,3,0.8,0.8,0,0,140,0.008832899348698412
0.1,3,3,0.8,0.8,0,0,71,0.008816897315641913
0.3,3,3,0.8,0.8,0,0,21,0.008958669368222042
0.01,5,3,0.8,0.8,0,0,635,0.008888903131055479
0.05,5,3,0.8,0.8,0,0,145,0.008920650714792842
0.1,5,3,0.8,0.8,0,0,66,0.008998848268059684
0.3,5,3,0.8,0.8,0,0,18,0.009098877926975942
0.01,7,3,0.8,0.8,0,0,678,0.008961589414498377
0.05,7,3,0.8,0.8,0,0,133,0.009095652702144758
0.1,7,3,0.8,0.8,0,0,66,0.009016720518412659
