feature,importance_value,rank
P_internet,0.002604431341599368,1
bias_w,0.0018711636280761296,2
Current_income,7.052198047589475e-4,3
P_cell_phone,6.86457697845307e-4,4
P_working,5.864486598568617e-4,5
P_vulnerable_income,5.783153928786032e-4,6
P_migrants,5.322005748383037e-4,7
P_university_studies,4.4857788150114657e-4,8
Mean_occupants,4.4375422286751723e-4,9
P_read_write,4.081143297425454e-4,10
P_car,3.9374286245133375e-4,11
Mean_age,3.7715674908877687e-4,12
longitude,3.705942173508111e-4,13
P_extreme_poverty,3.5265423610328367e-4,14
P_female,3.5057788128405444e-4,15
P_educational_lag,3.4736374346762476e-4,16
P_lack_quality_living_spaces,3.400005730860837e-4,17
latitude,3.169784571857938e-4,18
P_indigenous_language,2.7026366264388017e-4,19
P_afrodescendants,2.700779087590004e-4,20
P_age_00_14,2.493392701297793e-4,21
P_age_15_39,2.4838839034094847e-4,22
Total_houses,2.2995332685777622e-4,23
P_disability,2.1869275548671506e-4,24
P_age_65_more,1.984950445576381e-4,25
P_electricity,1.9792888445120232e-4,26
P_poverty,1.2623169564189872e-4,27
Total_residents,1.1208014192911321e-4,28
