Area_code,Area_name,Total_Population,Total_active_population,bias,Map_bias
1001, Aguascalientes,948990,25933,0.972673052,97.26730524
1002, Asientos,51536,1465,0.971573269,97.15732692
1003, Calvillo,58250,1448,0.975141631,97.51416309
1004, Cosío,17000,342,0.979882353,97.98823529
1010, El Llano,20853,354,0.983024025,98.30240253
1005, Jesús María,129929,2660,0.97952728,97.95272803
1006, Pabellón de Arteaga,47646,956,0.979935357,97.99353566
1007, Rincón de Romos,57369,993,0.982691,98.26910004
1011, San Francisco de los Romo,61997,1363,0.978015065,97.80150652
1008, San José de Gracia,9552,119,0.987541876,98.7541876
1009, Tepezalá,22485,678,0.969846564,96.98465644
2001, Ensenada,443807,15667,0.964698619,96.4698619
2002, Mexicali,1049792,33791,0.967811719,96.78117189
2005, Playas de Rosarito,126890,3348,0.973614942,97.36149421
2003, Tecate,108440,3729,0.96561232,96.56123202
2004, Tijuana,1922523,77349,0.959766931,95.97669313
3001, Comondú,73021,1093,0.985031703,98.50317032
3003, La Paz,292241,7717,0.973593712,97.3593712
3009, Loreto,18052,358,0.980168402,98.01684024
3008, Los Cabos,351111,11075,0.968457268,96.84572685
3002, Mulegé,64022,1126,0.982412296,98.24122958
4010, Calakmul,31714,239,0.992463896,99.24638961
4001, Calkiní,59232,987,0.98333671,98.33367099
4002, Campeche,294077,7774,0.973564747,97.35647466
4011, Candelaria,46913,388,0.991729371,99.17293714
4003, Carmen,248845,5737,0.976945488,97.69454882
4004, Champotón,78170,1308,0.983267238,98.32672381
4009, Escárcega,59923,928,0.984513459,98.45134589
4005, Hecelchakán,31917,476,0.985086318,98.50863176
4006, Hopelchén,42140,395,0.990626483,99.06264832
4007, Palizada,8683,64,0.992629276,99.26292756
4008, Tenabo,11452,112,0.990220049,99.02200489
5001, Abasolo,1022,35,0.965753425,96.57534247
5002, Acuña,163058,1705,0.989543598,98.9543598
5003, Allende,23056,593,0.974280014,97.42800139
5004, Arteaga,29578,646,0.978159443,97.81594428
5005, Candela,1643,19,0.988435788,98.84357882
5006, Castaños,29128,580,0.980087888,98.00878879
5007, Cuatro Ciénegas,12715,250,0.980338183,98.03381832
5008, Escobedo,3047,53,0.982605842,98.26058418
5009, Francisco I. Madero,59035,968,0.983602947,98.36029474
5010, Frontera,82409,2415,0.970694948,97.06949484
5011, General Cepeda,11898,157,0.986804505,98.6804505
5012, Guerrero,1643,69,0.958003652,95.80036519
5013, Hidalgo,1735,17,0.990201729,99.02017291
5014, Jiménez,9502,85,0.991054515,99.10545148
5015, Juárez,1584,27,0.982954545,98.29545455
5016, Lamadrid,1764,49,0.972222222,97.22222222
5017, Matamoros,118337,2026,0.982879404,98.28794037
5018, Monclova,237951,7723,0.967543738,96.7543738
5019, Morelos,7928,238,0.969979818,96.99798184
5020, Múzquiz,71627,1676,0.976601002,97.66010024
5021, Nadadores,6539,105,0.983942499,98.39424989
5022, Nava,33129,1177,0.964472215,96.44722147
5023, Ocampo,9642,306,0.968263846,96.82638457
5024, Parras,44472,579,0.986980572,98.6980572
5025, Piedras Negras,176327,6544,0.962887136,96.28871358
