feature,importance_value,rank
P_internet,7.552712362880887e-4,1
bias_w,4.113760016010486e-4,2
Current_income,2.677658426533867e-4,3
P_university_studies,2.384512781438615e-4,4
P_cell_phone,1.9436221931657947e-4,5
longitude,1.4820746040105658e-4,6
Total_houses,1.4439740430356688e-4,7
latitude,1.2094603168917582e-4,8
P_female,9.64536186009676e-5,9
P_car,9.164922923056963e-5,10
P_extreme_poverty,7.595484765959689e-5,11
P_migrants,7.450419044197282e-5,12
P_age_00_14,6.338715165548336e-5,13
Mean_occupants,5.627574196622147e-5,14
P_vulnerable_income,4.906993976578118e-5,15
P_electricity,4.737740925596853e-5,16
P_read_write,4.094794900439086e-5,17
Total_residents,4.013758325091572e-5,18
P_afrodescendants,3.899333215714661e-5,19
P_educational_lag,3.587205261567652e-5,20
P_disability,3.5852777378827375e-5,21
P_age_15_39,3.509789827666869e-5,22
P_working,3.2571726017860445e-5,23
P_lack_quality_living_spaces,3.2527862492467334e-5,24
P_poverty,2.9381482824568774e-05,25
P_indigenous_language,2.8517202846740634e-5,26
Mean_age,1.1801945571593169e-5,27
P_age_65_more,1.0780512769952592e-5,28
