feature,importance_value,rank
bias_w,0.02120714840765431,1
P_age_00_14,0.00996989556232622,2
P_poverty,0.008633752690001186,3
P_internet,0.008540385272320136,4
Total_residents,0.008124230463500052,5
Total_houses,0.007204006480258016,6
P_age_15_39,0.007190181384741084,7
P_educational_lag,0.006851318032039041,8
P_lack_quality_living_spaces,0.005975852196004634,9
P_age_65_more,0.005194682947637838,10
P_cell_phone,0.005098745802862508,11
longitude,0.0046911758884055615,12
P_car,0.0042601035113012525,13
P_read_write,0.0040695599627730995,14
P_migrants,0.003934418993674711,15
P_indigenous_language,0.003878405092277213,16
Current_income,0.0038243754386954295,17
P_university_studies,0.0036609318288907465,18
latitude,0.0033084366128888253,19
P_vulnerable_income,0.0028612090630345324,20
P_female,0.0027495220508988,21
P_extreme_poverty,0.002648780005736135,22
P_afrodescendants,0.002499539435092343,23
P_working,0.0020459392285233796,24
P_electricity,0.001966045580937739,25
P_disability,0.0018691092530611977,26
Mean_age,0.0018168466857853317,27
Mean_occupants,8.133446481230641e-4,28
